Year	Film	Director	Nationality of director	Award
1998	Jakub	Adam Guzinski	Poland	Premier Prix
1998	The Sheep Thief	Asif Kapadia	United Kingdom	Deuxième Prix
1998	Mangwana	Manu Kurewa	Zimbabwe	Troisième Prix
1999	Second Hand	Emily Young	United Kingdom	Premier Prix
1999	La Puce	Emmanuelle Bercot	France	Deuxième Prix
1999	Im Hukim	Dover Kosashvili	Georgia Israel	Deuxième Prix
1999	En God Dag at Go	Bo Hagen Clausen	Denmark	Troisième Prix
1999	Inter-View	Jessica Hausner	Austria	Mention Spéciale
2000	Five Feet High and Rising	Peter Sollett	United States	Premier Prix
2000	Kiss it up to God	Caran Hartsfield	United States	Deuxième Prix
2000	Kinu'Ach	Amit Sakomski	Israel	Deuxième Prix
2000	Indien	Pernille Fischer Christensen	Denmark	Troisième Prix
2000	Cuoc Xe-Dem	Bui Thac Chuyên	Vietnam	Troisième Prix
2001	Portrait	Sergei Chuishin	Ukraine	Premier Prix
2001	Reparation	Jens Jonsson	Sweden	Deuxième Prix
2001	Dai Bi	Yang Chao	China	Troisième Prix
2001	Crow Stone	Alicia Duffy	United Kingdom	Troisième Prix
2002	Um Sol Alaranjado	Eduardo Valente	Brazil	Premier Prix
2002	Seule Maman a les Yeux Bleus	Eric Forestier	France	Deuxième Prix
2002	K-G i Nod Och Lust	Jens Jonsson	Sweden	Deuxième Prix
2002	She'elot Shel Po'el Met	Aya Somech	Israel	Troisième Prix
2003	Bezi Zeko Bezi	Pavle Vuckovic	Serbia	Premier Prix
2003	Historia del Desierto	Celia Galán Julve	Spain	Deuxième Prix
2003	TV City	Alberto Couceiro and Alejandra Tomei	Argentina	Troisième Prix
2003	Rebeca a esas Alturas	Luciana Jauffred Gorostiza	Mexico	Troisième Prix
2004	Happy Now	Frederikke Aspöck	Denmark	Premier Prix
2004	Calatorie la Oras	Corneliu Porumboiu	Romania	Deuxième Prix
2004	99 Vuotta Elämästäni	Marja Mikkonen	Finland	Deuxième Prix
2004	Fajnie, Ze Jestes	Jan Komasa	Poland	Troisième Prix
2005	Buy It Now	Antonio Campos	Brazil United States	Premier Prix
2005	Vdvoyom	Nikolay Khomeriki	Russia	Deuxième Prix
2005	Bikur Holim	Maya Dreifuss	Israel	Deuxième Prix
2005	La Plaine	Roland Edzard	Germany France	Troisième Prix
2005	Be Quiet	Sameh Zoabi	Palestine	Troisième Prix
2006	Ge & Zeta	Gustavo Riet	Uruguay	Premier Prix
2006	Mr. Schartz, Mr. Hazen & Mr. Horlocker	Stefan Mueller	Germany	Deuxième Prix
2006	Mother	Sian Heder	United States	Troisième Prix
2006	A Virus	Ágnes Kocsis	Hungary	Troisième Prix
2007	Ahora Todos Parecen Contentos	Gonzalo Tobal	Argentina	Premier Prix
2007	Ru Dao	Chen Tao	China	Deuxième Prix
2007	A Reunion	Hong Sung-Hoon	South Korea	Troisième Prix
2007	Minus	Pavle Vuckovic	Serbia	Troisième Prix
2008	Hymnon	Elad Keidan	Israel	Premier Prix
2008	Forbach	Claire Burger	France	Deuxième Prix
2008	Stop	Park Jae-Ok	South Korea	Troisième Prix
2008	Roadmarkers	Juho Kuosmanen	Finland	Troisième Prix
2009	Bába	Zuzana Kirchnerová	Czech Republic	Premier Prix
2009	Goodbye	Fang Song	China	Deuxième Prix
2009	Diploma	Yaelle Kayam	Israel	Troisième Prix
2009	Nammae Ui Jip	Jo Sung-hee	South Korea	Troisième Prix
2010	Taukukauppiaat	Juho Kuosmanen	Finland	Premier Prix
2010	Coucou-les-Nouages	Vincent Cardona	France	Deuxième Prix
2010	Hinkerort Zorasune	Vatche Boulghourjian	Lebanon	Troisième Prix
2010	Ja Vec Jesam Sve Ono Sto Zelim da Imam	Dane Komljen	Serbia	Troisième Prix
2011	Der Brief	Doroteya Droumeva	Bulgaria	Premier Prix
2011	Drari	Kamal Lazraq	Morocco	Deuxième Prix
2011	Ya-gan-bi-hang	Son Tae-Gyum	South Korea	Troisième Prix
2012	Doroga na	Taisia Igumentseva	Russia	Premier Prix
2012	Abigail	Matthew James Reilly	United States	Deuxième Prix
2012	Los Anfitriones	Son Tae-Gyum	Cuba	Troisième Prix
2013	Needle	Anahita Ghazvinizadeh	United States	Premier Prix
2013	Waiting for the Thaw	Sarah Hirtt	Belgium	Deuxième Prix
2013	În Acvariu	Tudor Cristian Jurgiu	Romania	Troisième Prix
2013	Pandy	Matúš Vizár	Slovakia	Troisième Prix
