Series #	Season #	Title	Directed by	Written by	Original air date	Production code
101	1	"Labor Paynes: Part 1"	Tyler Perry	Brandon Broussard	December3,2008	501
102	2	"Labor Paynes: Part 2"	Tyler Perry	Teri Jackson	December3,2008	502
103	3	"Your Wife's a Payne"	Tyler Perry	Kellie R. Griffin	December10,2008	503
104	4	"Casa De Payne"	Tyler Perry	Steve Coulter	December10,2008	504
105	5	"It's a Payne Growing Up"	Tyler Perry	Tajamika Paxton and Calvin Brown, Jr.	December17,2008	505
106	6	"Payne and Prejudice"	Tyler Perry	Steve Coulter	December17,2008	506
107	7	"Payneful News"	Tyler Perry	Joseph Hampton and Lamont Ferrell	February11,2009	507
108	8	"Payneful Loss"	Tyler Perry	Christopher J. Moore and Kelly Zimmerman-Green	February11,2009	508
109	9	"Payneful Employment"	Tyler Perry	Joseph Hampton	February18,2009	509
110	10	"Slightly Payneful Truth"	Tyler Perry	Christopher J. Moore and Calvin Brown, Jr.	February18,2009	510
111	11	"Joy and Payne"	Tyler Perry	Joseph Hampton	February25,2009	511
112	12	"A Sister's Payne"	Tyler Perry	Brandon Broussard and Christopher J. Moore	February25,2009	512
113	13	"A Grand Payne"	Tyler Perry	Brandon Broussard and Joseph Hampton	March4,2009	513
114	14	"Games People Play"	Tyler Perry	Joseph Hampton	March4,2009	514
115	15	"Help Wanted"	Tyler Perry	Steve Coulter & Dani Renee	April8,2009	515
116	16	"Old Lady Paynes"	Tyler Perry	Lamont Ferrell	April8,2009	516
117	17	"I Don't Know This Payne"	Tyler Perry	Tricia Johnson and Myra J.	April15,2009	517
118	18	"Pall Mall"	Tyler Perry	Steve Coulter	April15,2009	518
119	19	"With Friends Like These"	Tyler Perry	Dani Renee	April22,2009	519
120	20	"The Talent Show"	Tyler Perry	Myra J. and Kelly Zimmerman-Green	April22,2009	520
121	21	"Bringing Down the House"	Tyler Perry	Joseph Hampton	April29,2009	521
122	22	"Moving Day"	Tyler Perry	Calvin Brown Jr.	April29,2009	522
123	23	"Moving Out"	Tyler Perry	Kelly Zimmerman-Green	May27,2009	523
124	24	"Back Where We Belong"	Tyler Perry	Myra J.	May27,2009	524
125	25	"Surprise!: Part 1"	Tyler Perry	Gary Sturgis	June3,2009	525
126	26	"Surprise!: Part 2"	Tyler Perry	Joseph Hampton & Steve Coulter	June3,2009	526
