Region	Capital	Area (km²)	Area (sq. mi.)	Population	GDP ( bn )
Attica	Athens	3,808	1,470	3,812,330	€103.334
Central Greece	Lamia	15,549	6,004	546,870	€12.530
Central Macedonia	Thessaloniki	18,811	7,263	1,874,590	€34.458
Crete	Heraklion	8,259	3,189	621,340	€12.854
East Macedonia and Thrace	Komotini	14,157	5,466	606,170	€9.054
Epirus	Ioannina	9,203	3,553	336,650	€5.827
Ionian Islands	Corfu	2,307	891	206,470	€4.464
North Aegean	Mytilene	3,836	1,481	197,810	€3.579
Peloponnese	Tripoli	15,490	5,981	581,980	€11.230
South Aegean	Ermoupoli	5,286	2,041	308,610	€7.816
Thessaly	Larissa	14,037	5,420	730,730	€12.905
West Greece	Patras	11,350	4,382	680,190	€12.122
West Macedonia	Kozani	9,451	3,649	282,120	€5.564
Autonomous state	Capital	Area (km²)	Area (sq. mi.)	Population	GDP ( bn )
Mount Athos	Karyes	390	151	1,830	N/A
