NGC number	Object type	Constellation	Right ascension ( J2000 )	Declination ( J2000 )
6514	Diffuse nebula	Sagittarius	18h02m23s	°02′
6520	Open cluster	Sagittarius	18h03m	°53′
6522	Globular cluster	Sagittarius	18h03m34.1s	°02′02″
6523	Open cluster	Sagittarius	18h03m	°23′
6530	Open cluster	Sagittarius	18h05m	°22′
6531	Open cluster	Sagittarius	18h04m	°29′
6537	Planetary nebula	Sagittarius	18h05m13.1s	°50′35″
6543	Planetary nebula	Draco	17h58m33.4s	°38′00″
6559	Diffuse nebula	Sagittarius	18h10m	-24°
6560	Spiral galaxy	Hercules	18h05m14.2s	°52′53″
6565	Planetary nebula	Sagittarius	18h11m52.5s	°10′42″
6575	Elliptical galaxy	Hercules	18h10m57.5s	°06′57″
6578	Planetary nebula	Sagittarius	18h16m16.5s	°27′03″
6589	Diffuse nebula	Sagittarius	18h16m50.4s	°53′24″
6590	Diffuse nebula	Sagittarius	18h17m00s	°53′
6600	Galaxy	Hercules	18h15m43.0s	°54′45″
