Club	Position in 2013	First season	First season of current spell	Number of seasons in Superettan	Number of seasons in second tier
Assyriska FF	8th	2000	2008	12	17
Degerfors IF	4th	2005	2010	8	35
GAIS	7th	2001	2013	4	29
Hammarby IF	5th	2010	2010	4	36.5
Husqvarna FF	1st in Div. 1 Södra	2014	2014	0	1
Jönköpings Södra	11th	2006	2006	8	35
Landskrona BoIS	12th	2000	2006	10	51
Ljungskile SK	9th	2000	2009	9	14
IK Sirius	1st in Div. 1 Norra	2007	2014	3	23
Syrianska FC	16th in Allsvenskan	2009	2014	2	2
Ängelholms FF	6th	2002	2008	7	11
Östers IF	15th in Allsvenskan	2000	2014	9	19
