Driver	Constructor	Laps	Time/Retired	Grid
Emerson Fittipaldi	Lotus - Ford	40	1:43:55.6	2
Jackie Stewart	Tyrrell - Ford	40	+ 13.5	8
Denny Hulme	McLaren - Ford	40	+ 1:46.4	5
Arturo Merzario	Ferrari	39	+ 1 Lap	17
Jacky Ickx	Ferrari	39	+ 1 Lap	3
Clay Regazzoni	BRM	39	+ 1 Lap	4
Howden Ganley	Iso Marlboro - Ford	39	+ 1 Lap	14
Niki Lauda	BRM	38	+ 2 Laps	13
Nanni Galli	Iso Marlboro - Ford	38	+ 2 Laps	18
François Cevert	Tyrrell - Ford	38	+ 2 Laps	9
Carlos Reutemann	Brabham - Ford	38	+ 2 Laps	7
Luiz Bueno	Surtees - Ford	36	+ 4 Laps	20
Jean-Pierre Beltoise	BRM	23	Electrical	10
Mike Beuttler	March - Ford	18	Overheating	19
Carlos Pace	Surtees - Ford	9	Suspension	6
Mike Hailwood	Surtees - Ford	6	Gearbox	14
Jean-Pierre Jarier	March - Ford	6	Gearbox	15
Ronnie Peterson	Lotus - Ford	5	Wheel	1
Wilson Fittipaldi	Brabham - Ford	5	Overheating	11
Peter Revson	McLaren - Ford	3	Gearbox	12
