Place	Player	Country	Score	To par
1	Tom Kite	United States	67-69-69=205	–5
2	Scott Simpson	United States	67-70-69=204	–4
3	Curtis Strange	United States	71-64-73=208	–2
T4	Jay Don Blake	United States	66-71-72=209	–1
T4	Larry Nelson	United States	68-73-68=209	–1
T4	Masashi Ozaki	Japan	70-71-68=209	–1
T7	Mark McCumber	United States	70-68-72=210	E
T7	Tom Pernice, Jr.	United States	67-75-68=210	E
T9	Chip Beck	United States	71-69-71=211	+1
T9	Brian Claar	United States	71-72-68=211	+1
T9	Ian Woosnam	Wales	70-68-73=211	+1
T9	José María Olazábal	Spain	69-72-70=211	+1
