Date	Visitor	Score	Home	Leading scorer	Attendance	Record
March 2	Cleveland	84-90	Dallas	Chris Mills , 16 points	Reunion Arena 12,194	33-23
March 4	New York	89-76	Cleveland	Hot Rod Williams , 20 points	Gund Arena 20,562	33-24
March 7	Detroit	81-89	Cleveland	Chris Mills , 24 points	Gund Arena 20,562	34-24
March 9	San Antonio	100-98	Cleveland	Terrell Brandon , 24 points	Gund Arena 20,562	34-25
March 10	Cleveland	76-99	Chicago	Tyrone Hill , 13 points	United Center 22,362	34-26
March 12	Cleveland	92-72	Philadelphia	3 way tie, 14 points	CoreStates Spectrum 10,221	35-26
March 16	Utah	85-93	Cleveland	Bobby Phills , 24 points	Gund Arena 20,562	36-26
March 17	Cleveland	77-80	Minnesota	Mark Price , 18 points	Target Center 14,222	36-27
March 19	Cleveland	90-96	Washington	Mark Price , 16 points	USAir Arena 17,110	36-28
March 20	Dallas	102-100	Cleveland	Tyrone Hill , 29 points	Gund Arena 20,562	36-29
March 22	Sacramento	89-101	Cleveland	Mark Price , 23 points	Gund Arena 20,562	37-29
March 24	Atlanta	74-75	Cleveland	Tyrone Hill , 24 points	Gund Arena 20,562	38-29
March 25	Cleveland	97-105	Charlotte	Chris Mills , 26 points	Charlotte Coliseum 23,698	38-30
March 29	Cleveland	96-107	Indiana	Chris Mills , 22 points	Market Square Arena 16,619	38-31
March 31	Washington	88-98	Cleveland	Chris Mills , 24 points	Gund Arena 20,562	39-31
