Year	Binibining Pilipinas-Universe	Binibining Pilipinas-International	Miss Maja Pilipinas	Binibining Pilipinas-Tourism	First runner-up	Second runner-up
1973	Maria Margarita Moran	Maria Elena Ojeda	Nanette Prodigalidad	Still not part of Bb. Pilipinas	Joan Salas	Mercedes Zabarte
1974	Guadalupe Sanchez	Erlynne Bernardez	Pacita Guevarra	Still not part of Bb. Pilipinas	Imelda Cajanding	Cynthia Villanueva
1975	Rose Marie Brosas	Jaye Murphy	Annette Liwanag	Still not part of Bb. Pilipinas	Hermenia Nenita Hernandez	Maria Luisa Montinola
1976	Lizbeth de Padua	Maria Dolores Ascalon	Cynthia Nakpil	Still not part of Bb. Pilipinas	Celita de Castro	Maricel Quintos
1977	Anna Lorraine Kier	Maria Cristina Alberto †	Annabelle Arambulo	Still not part of Bb. Pilipinas	Digna Ramos	Diana Jeanne Christine Chiong
1978	Jennifer Cortez	Luz Policarpio	Ligaya Pascual	Still not part of Bb. Pilipinas	Katherine Manuel	Maria Luisa Montinola
1979	Criselda Cecilio	Mimilanie Laurel Marquez	Ava Quibranza	Still not part of Bb. Pilipinas	Perla Salig	Catherine Veloso
1980	Maria Rosario Silayan †	Diana Jeanne Christine Chiong	Maria Asuncion Spirig	Still not part of Bb. Pilipinas	Susan Warsaw Africa	Celestina Maristela
1981	Maria Caroline Mendoza	Alice Sacasas	Josephine Bautista	Still not part of Bb. Pilipinas	Rosanna Peña	Maria Dolores Lopez
1982	Maria Isabel Lopez	Maria Adela Lisa Manibog	Nanette Cruz	Still not part of Bb. Pilipinas	Maria Desiree Verdadero	Maria Ana Liza Gino
1983	Rosita Capuyon	Flor Eden Pastrana	Maria Anna Cadiz	Still not part of Bb. Pilipinas	Matea Leah Aurora Tagle	Racquel Buenaventura
1984	Maria Desiree Verdadero	Catherine Jane Brummitt	Maria Villa Bella Nachor	Still not part of Bb. Pilipinas	Corazon Tierro	Anna Mari Lingad
1984	Maria Desiree Verdadero	Maria Villa Bella Nachor	Catherine Jane Brummit	Still not part of Bb. Pilipinas	Corazon Tierro	Anna Mari Lingad
1985	Joyce Ann Burton	Sabrina Simonette Marie Artadi	Maria Luisa Gonzalez	Still not part of Bb. Pilipinas	Glenah Marie Slaton	Rita Rosanna Biazon
1986	Violeta Asela Naluz	Jessie Alice Salones Dixson	Maria Cristina Recto	Still not part of Bb. Pilipinas	Catharina Salazar	Christine Bonifacio
1987	Geraldine Edith Asis	Maria Lourdes Enriquez	Maria Luisa Jimenez	Marie Avon Boyle Garcia	Angela Larrazabal	Rosabelle Adriano
1988	Perfida Limpin	Maria Anthea Robles	Maria Muriel Moral	Maritoni Judith Daya	Amelia Joy dela Cruz	Lorna Legaspi
1989	Sarah Jane Paez	Lilia Eloisa Andanar	Jeanne Therese Hilario	Marichele Cruz	Suzanne Park Fahling	Michelle Blardony
1990	Germelina Leah Padilla	Jennifer Pingree	Precious Bernadette Tongko	Milagros Javelosa	Mutya Crisostomo Laxa	Leonor Cueto
1991	Anjanette Abayari	Maria Patricia Betita	Maria Lourdes Gonzalez	Not awarded	Selina Manalad	Jennette Fernando
1991	Maria Lourdes Gonzalez	Maria Patricia Betita	Selina Manalad	Not awarded	Jennette Fernando	Anna Marie Torres
