Res.	Record	Opponent	Method	Event	Round	Time	Location
Loss	5-4-1	Duane Bastress	TKO (doctor stoppage)	Bellator 54	2	5:00	Atlantic City, New Jersey , United States
Loss	5–3–1	Tim Carpenter	Decision (split)	Bellator 38	3	5:00	Tunica, Mississippi , United States
Win	5–2–1	Martin Wojcik	Submission (rear-naked choke)	Israel FC: Genesis	1	2:17	Tel Aviv , Israel
Loss	4–2–1	Allan Goes	TKO (punches)	IFL: World Championship Semifinals	2	1:03	Portland, Oregon , United States
Win	4–1–1	Wes Sims	Technical Submission (standing rear naked choke)	IFL: Championship 2006	1	2:42	Atlantic City, New Jersey , United States
Draw	3–1–1	Wes Sims	Technical Draw	GFC: Team Gracie vs Team Hammer House	2	5:00	Columbus, Ohio , United States
Win	3–1	Wataru Sakata	Submission (armbar)	Pride Shockwave 2003	1	7:12	Saitama, Saitama , Japan
Loss	2–1	Kazuhiro Nakamura	Decision (unanimous)	Pride Bushido 1	2	5:00	Saitama, Saitama , Japan
Win	2–0	Shinsuke Nakamura	Submission (armlock)	Inoki Bom-Ba-Ye 2002	2	2:14	Saitama, Saitama , Japan
Win	1–0	Takashi Sugiura	Decision (split)	Pride 21	3	5:00	Saitama, Saitama , Japan
