Week	Date	Opponent	Result	Attendance
1	September 9, 1967	Boston Patriots	W 28–14	39,337
2	September 24, 1967	Houston Oilers	W 13–3	36,032
3	October 1, 1967	at Buffalo Bills	W 37–17	39,310
4	October 8, 1967	Boston Patriots	T 31–31	23,620
5	October 15, 1967	Kansas City Chiefs	W 45–31	45,355
6	October 22, 1967	at Denver Broncos	W 38–21	34,465
7	October 29, 1967	at Oakland Raiders	L 51–10	53,474
8	November 12, 1967	Miami Dolphins	W 24–0	34,761
9	November 19, 1967	at Kansas City Chiefs	W 17–16	46,738
10	November 23, 1967	Denver Broncos	W 24–20	34,586
11	December 3, 1967	Oakland Raiders	L 41–21	52,661
12	December 10, 1967	at Miami Dolphins	L 41–24	23,007
13	December 16, 1967	at Houston Oilers	L 24–17	19,870
14	December 24, 1967	New York Jets	L 42–31	34,580
