Stage	Winner	General classification	Points classification	Mountains classification	Asian rider classification	Team classification	Asian team classification
1	Matthieu Sprick	Matthieu Sprick	Mitchell Docker	not available	Shinichi Fukushima	Diquigiovanni-Androni	Seoul Cycling Team
2	Jeremy Hunt	Matthieu Sprick	Gustavo Cesar	not available	Shinichi Fukushima	Diquigiovanni-Androni	Meitan Hompo-GDR
3	Lee Won-Jae	Matthieu Sprick	Anuar Manan	not available	Shinichi Fukushima	Diquigiovanni-Androni	Meitan Hompo-GDR
4	Danilo Hondo	Matthieu Sprick	Anuar Manan	not available	Shinichi Fukushima	Diquigiovanni-Androni	Meitan Hompo-GDR
5	Alberto Loddo	Matthieu Sprick	Aurélien Clerc	not available	Shinichi Fukushima	Diquigiovanni-Androni	Meitan Hompo-GDR
6	José Serpa	Matthieu Sprick	Aurélien Clerc	Chris Meschenmoser	Park Sung-Baek	Diquigiovanni-Androni	Seoul Cycling Team
7	Alexandre Usov	Mitchell Docker	Aurélien Clerc	Chris Meschenmoser	Park Sung-Baek	Diquigiovanni-Androni	Seoul Cycling Team
8	Filippo Savini	Ruslan Ivanov	Aurélien Clerc	Filippo Savini	Shinichi Fukushima	Diquigiovanni-Androni	Seoul Cycling Team
9	Mauro Abel Richeze	Ruslan Ivanov	Aurélien Clerc	Filippo Savini	Shinichi Fukushima	Diquigiovanni-Androni	Seoul Cycling Team
Final	Final	Ruslan Ivanov	Aurélien Clerc	Filippo Savini	Shinichi Fukushima	Diquigiovanni-Androni	Seoul Cycling Team
