Game	Date	Team	Score	Location Attendance	Record
4	November 1	@ Chicago	L 82–84	Chicago Stadium	3-1
5	November 5	Buffalo	W 105–95	Boston Garden	4-1
6	November 7	@ Milwaukee	L 101–104	MECCA Arena	4-2
7	November 8	@ Detroit	W 118–104	Cobo Arena	5-2
8	November 11	Atlanta	L 91–100	Hartford Civic Center	5-3
9	November 13	@ Washington	L 107–110	Capital Centre	5-4
10	November 14	Philadelphia	L 109–119	Boston Garden	5-5
11	November 15	@ Buffalo	W 112–110	Buffalo Memorial Auditorium	6-5
12	November 21	New York	W 110–101	Boston Garden	7-5
13	November 23	@ Cleveland	W 105–90	Richfield Coliseum	8-5
14	November 26	Seattle	L 109–110	Boston Garden	8-6
15	November 28	Atlanta	W 114–107	Boston Garden	9-6
