Res.	Record	Opponent	Method	Event	Round	Time	Location
Draw	17-3-1	Gor Harutunian	Decision (draw)	100% Fight - VIP	3	5:00	Paris, France
Loss	17-3	Jim Miller	Submission (rear naked choke)	UFC 89	3	3:19	London, England
Win	17-2	Hayato Sakurai	Submission (guillotine choke)	Shooto - Shooto Tradition 1	1	4:50	Tokyo, Japan
Win	16-2	Niek Tromp	Submission (guillotine choke)	Shooto - Belgium	1	1:23	Charleroi , Belgium
Win	15-2	Abdul Mohamed	TKO (doctor stoppage)	UF 7: 2 Tuf 2 Tap	1	3:22	England
Win	14-2	Johnny Frachey	KO (punch)	Xtreme Gladiators 3	1	4:58	France
Win	13-2	Jason Ball	Submission (armbar)	Ultimate Tear Up	1	2:09	Middlesbrough , England
Loss	12-2	Takanori Gomi	Submission (rear naked choke)	PRIDE Bushido 12	1	7:10	Nagoya , Japan
Win	12-1	Joey Van Wanrooij	Submission (strikes)	2H2H - Road to Japan	1	1:35	Netherlands
Win	11-1	Dan Hardy	Decision (unanimous)	2H2H - Road to Japan	2	3:00	Netherlands
Loss	10-1	Per Eklund	Decision (unanimous)	EVT 6: Ragnarok	3	5:00	Stockholm , Sweden
Win	10-0	Erik Oganov	KO (elbows)	M-1 MFC - Russia vs Europe	2	3:12	Saint Petersburg , Russia
Win	9-0	Olivier Elizabeth	Submission (rear-naked choke)	PFA - Pancrase Fighting Association	1	2:50	Bonneull, France
Win	8-0	Dan Hardy	Submission ( triangle choke )	CWFC: Strike Force	2	3:10	Coventry , England
Win	7-0	Sauli Heilimo	Submission (reverse triangle choke)	Shooto Sweden - Second Impact	2	2:33	Stockholm , Sweden
Win	6-0	Stale Nyang	Decision (unanimous)	EVT 4: Gladiators	3	5:00	Stockholm , Sweden
Win	5-0	Roemer Trumpert	Submission (triangle choke)	Shooto Holland - Fight Night	1	3:01	Vlissingen , Netherlands
Win	4-0	Jean Frederic Dutriat	Submission (ankle lock)	World Absolute Fight 2	2	1:42	Marrakech , Morocco
Win	3-0	Martinsh Egle	TKO (left hook to the body)	Shooto Holland - The Lords of the Ring	1	0:35	Deventer , Netherlands
Win	2-0	Dirk van Opstal	Submission (armbar)	Shooto Holland - Night of the Warriors	1	2:19	Netherlands
Win	1-0	Carl Cincinnatus	Submission (guillotine choke)	Ultra Fight Kempokan	2	2:08	Paris, France
