Place	Player	Country	Score	To par	Money ( $ )
1	Ken Venturi	United States	72-70-66-70=278	–2	17,000
2	Tommy Jacobs	United States	72-64-70-76=282	+2	8,500
3	Bob Charles	New Zealand	72-72-71-68=283	+3	6,000
4	Billy Casper	United States	71-74-69-71=285	+5	5,000
T5	Gay Brewer	United States	76-69-73-68=286	+6	3,750
T5	Arnold Palmer	United States	68-69-75-74=286	+6	3,750
7	Bill Collins	United States	70-71-74-72=287	+7	3,000
8	Dow Finsterwald	United States	73-72-71-72=288	+8	2,500
T9	Johnny Pott	United States	71-73-73-72=289	+9	1,950
T9	Bob Rosburg	United States	73-73-70-73=289	+9	1,950
