Date	Venue	Opponents	Score	Comp	Attendance
2007-04-07	Råsunda	BP	0–1	Allsv.	15 092
2007-04-16	Stadion	Halmstad	2–0	Allsv.	10 747
2007-04-21	Stadion	Helsingborg	3–1	Allsv.	11 223
2007-04-29	Fredriksskans	Kalmar	0–1	Allsv.	7 349
2007-05-07	Borås Arena	Elfsborg	2–2	Allsv.	11 533
2007-05-14	Stadion	GAIS	0–1	Allsv.	10 122
2007-05-21	Vångavallen	Trelleborg	3–0	Allsv.	3 012
2007-05-28	Råsunda	AIK	3–1	Allsv.	32 529
2007-06-12	Stadion	Göteborg	2–1	Allsv.	12 697
2007-06-19	Råsunda	Hammarby	0–2	Allsv.	23 545
2007-06-25	Behrn Arena	Örebro	0–0	Allsv.	11 565
2007-07-02	Stadion	Gefle	2–1	Allsv.	12 030
2007-07-07	Stadion	Malmö	1–0	Allsv.	11 515
2007-07-17	Malmö Stadion	Malmö	1–1	Allsv.	15 976
2007-07-21	Stadion	Elfsborg	2–1	Allsv.	11 733
2007-08-06	Nya Ullevi	GAIS	1–1	Allsv.	6 453
2007-08-13	Råsunda	Hammarby	1–0	Allsv.	24 634
2007-08-16	Nya Ullevi	Göteborg	1–1	Allsv.	12 187
2007-08-27	Stadion	Kalmar	1–3	Allsv.	13 387
2007-09-03	Olympia	Helsingborg	4–1	Allsv.	13 385
2007-09-17	Stadion	Trelleborg	1–1	Allsv.	9 700
2007-09-24	Råsunda	AIK	1–1	Allsv.	34 116
2007-09-29	Stadion	Örebro	4–1	Allsv.	9 311
2007-10-07	Strömvallen	Gefle	2–0	Allsv.	7 130
2007-10-22	Örjans Vall	Halmstad	2–1	Allsv.	7 147
2007-10-28	Stadion	BP	0–1	Allsv.	14 222
