Game	December	Opponent	Score	Record	Points
27	1	Vancouver Canucks	4–3	14–12–1	29
28	4	@ New York Rangers	1–1 OT	14–12–2	30
29	6	@ Dallas Stars	6–3	15–12–2	32
30	10	Florida Panthers	5–4	16–12–2	34
31	12	Hartford Whalers	3–2	17–12–2	36
32	14	@ Hartford Whalers	4–0	18–12–2	38
33	15	Boston Bruins	6–0	19–12–2	40
34	19	New York Islanders	5–0	20–12–2	42
35	21	St. Louis Blues	4–0	21–12–2	44
36	22	@ Chicago Blackhawks	2–2 OT	21–12–3	45
37	27	@ Edmonton Oilers	6–4	22–12–3	47
38	29	@ Calgary Flames	4–2	23–12–3	49
39	31	@ Vancouver Canucks	5–3	24–12–3	51
