Rider	Bike	Laps	Time	Grid
Troy Bayliss	Ducati 999 F07	24	39:30.861	1
Max Biaggi	Suzuki GSX-R1000 K7	24	+1.431	4
Noriyuki Haga	Yamaha YZF-R1	24	+4.466	5
Troy Corser	Yamaha YZF-R1	24	+13.766	2
Roberto Rolfo	Honda CBR1000RR	24	+20.848	9
Ruben Xaus	Ducati 999 F06	24	+21.930	3
Lorenzo Lanzi	Ducati 999 F07	24	+29.847	6
Fonsi Nieto	Kawasaki ZX-10R	24	+29.986	16
Shinichi Nakatomi	Yamaha YZF-R1	24	+40.126	10
Max Neukirchner	Suzuki GSX-R1000 K6	24	+40.733	12
James Toseland	Honda CBR1000RR	24	+42.544	8
Vittorio Iannuzzo	Kawasaki ZX-10R	24	+54.504	15
Karl Muggeridge	Honda CBR1000RR	24	+55.024	17
Steve Martin	Suzuki GSX-R1000 K6	24	+55.304	22
Yoann Tiberio	Honda CBR1000RR	24	+59.781	18
Norino Brignola	Ducati 999 F05	24	+1:00.609	19
Luca Morelli	Honda CBR1000RR	24	+1:06.922	21
Marco Borciani	Ducati 999 F06	24	+1:18.228	11
Dean Ellison	Ducati 999RS	23	+1 Lap	23
Régis Laconi	Kawasaki ZX-10R	12	Retirement	13
Michel Fabrizio	Honda CBR1000RR	8	Retirement	7
Jakub Smrž	Ducati 999 F05	1	Retirement	14
