Television service	Country	Language	Content	HDTV	Package/Option
Sky Radio	Italy	Italian	music	no	Sky Famiglia
Sky Music	Italy	Italian	music	no	Sky Famiglia
Music Box Italia	Italy	Italian	music	no	Sky Famiglia
MTV Hits	Italy	Italian	music	no	Sky Famiglia
MTV Classic	Italy	Italian	music	no	Sky Famiglia
MTV Rocks	United Kingdom	English	music	no	Sky Famiglia
MTV Dance	United Kingdom	English	music	no	Sky Famiglia
MTV Music	Italy	Italian	music	no	no ( FTV )
MTV Live HD	Poland	English	music	yes	Sky Famiglia + Sky HD
Radio Capital TiVù	Italy	Italian	music	no	no ( FTV )
myDeejay	Italy	Italian	music	no	Sky Famiglia
Match Music	Italy	Italian	music	no	Sky Famiglia
Rock TV	Italy	Italian	music	no	Sky Famiglia
Hip Hop TV	Italy	Italian	music	no	Sky Famiglia
Classica	Italy	Italian	music	no	Option
RTL 102.5 TV	Italy	Italian	music	no	no ( FTA )
