Date	Visitor	Score	Home	Record	Points
February 2	Chicago	3–1	Pittsburgh	14–30–5	33
February 3	Pittsburgh	4–5	Boston	14–31–5	33
February 7	Pittsburgh	4–5	Philadelphia	14–32–5	33
February 9	Pittsburgh	3–2	NY Islanders	15–32–5	35
February 10	Pittsburgh	3–5	Chicago	15–33–5	35
February 13	Detroit	3–5	Pittsburgh	16–33–5	37
February 16	California	3–7	Pittsburgh	17–33–5	39
February 20	St. Louis	1–1	Pittsburgh	17–33–6	40
February 23	Boston	6–2	Pittsburgh	17–34–6	40
February 24	Pittsburgh	4–2	Chicago	18–34–6	42
February 27	Los Angeles	1–4	Pittsburgh	19–34–6	44
February 28	Pittsburgh	1–7	Montreal	19–35–6	44
