Date	Opponent	Score	Loss	Attendance	Record
April 4	Padres	12–10	Hoffman (0–1)	47,661	1–0
April 6	Padres	14–6	Jennings (0–1)	20,721	1–1
April 8	@ Giants	10–8	Fuentes (0–1)	37,015	1–2
April 9	@ Giants	4–2	Dohmann (0–1)	37,993	1–3
April 10	@ Giants	11–4	Kennedy (0–1)	38,588	1–4
April 11	@ Diamondbacks	2–0	Jennings (0–2)	18,742	1–5
April 12	@ Diamondbacks	4–2	Fuentes (0–2)	37,355	1–6
April 13	@ Diamondbacks	5–2	B. Kim (0–1)	19,272	1–7
April 15	Giants	13–6	Wright (0–1)	22,551	1–8
April 16	Giants	5–4	Schmidt (2–1)	23,439	2–8
April 17	Giants	8–6	B. Kim (0–2)	27,107	2–9
April 18	Diamondbacks	5–3	Speier (1–1)	18,563	2–10
April 19	Diamondbacks	8–1	Estes (1–1)	18,235	3–10
April 20	@ Phillies	7–4	Lidle (0–2)	25,961	4–10
April 21	@ Phillies	6–3	Kennedy (1–2)	21,749	4–11
April 22	Dodgers	9–1	Weaver (2–1)	20,321	5–11
April 23	Dodgers	8–6	Pérez (3–1)	30,272	6–11
April 24	Dodgers	8–6	B. Kim (0–3)	28,117	6–12
April 26	Marlins	9–3	Wright (1–2)	18,855	6–13
April 29	@ Dodgers	6–3	Jennings (1–3)	40,150	6–14
April 30	@ Dodgers	6–2	Kennedy (1–3)	54,123	6–15
