Place	Player	Country	Score	To par	Money ( $ )
1	Jimmy Demaret	United States	70-72-72-69=283	–5	2,400
2	Jim Ferrier	Australia	70-67-73-75=285	–3	1,500
3	Sam Snead	United States	71-74-70-72=287	–1	1,020
T4	Ben Hogan	United States	73-68-71-76=288	E	725
T4	Byron Nelson	United States	75-70-69-74=288	E	725
6	Lloyd Mangrum	United States	76-74-73-68=291	+3	480
T7	Clayton Heafner	United States	74-77-69-72=292	+4	405
T7	Cary Middlecoff	United States	75-76-68-73=292	+4	405
9	Lawson Little	United States	70-73-75-75=293	+5	360
T10	Fred Haas	United States	74-76-73-71=294	+6	333
T10	Gene Sarazen	United States	80-70-72-72=294	+6	333
