Date	Opponent	Score	Loss	Attendance
September 1	Florida	5-4	Glavine (9-11)	19,621
September 2	Florida	9-6	Seo (4-8)	24,937
September 3	@ Philadelphia	8-1	Bell (0-2)	37,267
September 4	@ Philadelphia	7-0	Leiter (9-6)	43,089
September 5	@ Philadelphia	4-2	Trachsel (10-13)	43,628
September 7	@ Florida	7-3	Glavine (9-12)	14,308
September 8	@ Florida	3-0	Seo (4-9)	14,691
September 9	@ Florida	4-0	Valdez (12-8)	13,102
September 10	Philadelphia	9-5	Bottalico (3-2)	27,827
September 11	Philadelphia	11-9	Darensbourg (0-1)	21,718
September 12	Philadelphia	4-2	Glavine (9-13)	23,391
September 13	Atlanta	9-7	Wright (14-7)	<1,000
September 13	Atlanta	7-1	Seo (4-10)	21,476
September 14	Atlanta	7-0	Ortiz (14-8)	21,545
September 15	Atlanta	2-0	Leiter (9-7)	29,704
September 16	Atlanta	9-4	Capellan (0-1)	19,885
September 17	@ Pittsburgh	POSTPONED	POSTPONED	POSTPONED
September 18	@ Pittsburgh	8-7	Torres (7-5)	19,236
September 19	@ Pittsburgh	1-0	Heilman (1-2)	N/A
September 19	@ Pittsburgh	6-1	Benson (12-12)	18,219
September 21	@ Montreal	6-1	Leiter (9-8)	3,839
September 22	@ Montreal	3-2	Ayala (6-12)	3,664
September 23	@ Montreal	4-2	Ohka (3-6)	11,142
September 24	Chicago	2-1	Looper (2-4)	28,196
September 25	Chicago	4-3	Mercker (3-1)	34,284
September 26	Chicago	3-2	Wood (8-8)	36,476
September 27	@ Atlanta	POSTPONED	POSTPONED	POSTPONED
September 28	@ Atlanta	2-1	Byrd (8-6)	N/A
September 28	@ Atlanta	5-2	Glavine (10-14)	35,729
September 29	@ Atlanta	6-3	Heilman (1-3)	22,000
