Week	Date	Opponent	Result	Attendance
1	September 17, 1961	at Green Bay Packers	W 17-13	32,150
2	September 24, 1961	at Baltimore Colts	W 16-15	49,825
3	October 1, 1961	San Francisco 49ers	L 49-0	38,065
4	October 8, 1961	Chicago Bears	L 31-17	53,854
5	October 15, 1961	Los Angeles Rams	W 14-13	53,295
6	October 22, 1961	Baltimore Colts	L 17-14	48,447
7	October 29, 1961	at Los Angeles Rams	W 28-10	54,019
8	November 5, 1961	at San Francisco 49ers	T 20-20	46,267
9	November 12, 1961	at St. Louis Cardinals	W 45-14	54,123
10	November 19, 1961	at Minnesota Vikings	W 37-10	57,808
11	November 23, 1961	Green Bay Packers	L 17-9	43,272
12	December 3, 1961	at Chicago Bears	W 16-15	51,017
13	December 10, 1961	Minnesota Vikings	W 13-7	42,655
14	December 17, 1961	Philadelphia Eagles	L 27-24	44,231
