Rider	Manufacturer	Laps	Time/Retired	Grid
Mattia Pasini	Aprilia	25	41:49.049	1
Tomoyoshi Koyama	KTM	25	+3.253	3
Héctor Faubel	Aprilia	25	+ 5.094	6
Sergio Gadea	Aprilia	25	+6.781	5
Joan Olivé	Aprilia	25	+7.212	10
Mike Di Meglio	Honda	25	+7.335	15
Bradley Smith	Honda	25	+13.505	9
Raffaele de Rosa	Aprilia	25	+13.885	12
Pablo Nieto	Aprilia	25	+14.367	7
Simone Corsi	Aprilia	25	+26.672	2
Lorenzo Zanetti	Aprilia	25	+27.060	17
Sandro Cortese	Aprilia	25	+37.403	16
Randy Krummenacher	KTM	25	+38.212	11
Enrique Jerez	Honda	25	+41.905	24
Andrea Iannone	Aprilia	25	+48.782	14
Robert Muresan	Derbi	25	+1:05.000	26
Simone Grotzkyj	Aprilia	25	+1:05.720	31
Lukáš Pešek	Derbi	25	+1:05.847	21
Alexis Masbou	Honda	25	+1:18.100	8
Michael Ranseder	Derbi	25	+1:18.468	18
Joey Litjens	Honda	25	+1:23.222	29
Luke Jones	Honda	25	+1:24.001	33
Stevie Bonsey	KTM	25	+1:24.309	30
Nicolás Terol	Derbi	25	+1:27.391	22
Danny Webb	Honda	25	+1:33.592	37
Hugo van den Berg	Aprilia	25	+1:38.942	27
Nikki Coates	Honda	25	+1:40.403	34
Robbie Stewart	Honda	25	+1:40.553	32
Roberto Tamburini	Aprilia	24	+1 Lap	19
Tom Hayward	Honda	24	+1 Lap	36
Federico Sandi	Aprilia	20	Retirement	23
Gábor Talmácsi	Aprilia	19	Retirement	4
Kev Coghlan	Honda	15	Retirement	35
Esteve Rabat	Honda	13	Retirement	28
Stefano Bianco	Aprilia	10	Retirement	20
Pol Espargaró	Aprilia	10	Retirement	13
Dominique Aegerter	Aprilia	4	Retirement	25
