Team	Outgoing manager	Manner of departure	Date of vacancy	Last match	Replaced by
Atlético Mineiro	Geninho	Resigned	Round 1	Botafogo 2-0 Atlético Mineiro 1	Alexandre Gallo
Figueirense	Alexandre Gallo	Left to sign with Atlético Mineiro	Round 2	Figueirense 2-1 Coritiba	Guilherme Macuglia
Atlético Paranaense	Ney Franco	Sacked	Round 2	Atlético Paranaense 1-1 São Paulo	Roberto Fernandes
Náutico	Roberto Fernandes	Left to sign with Atlético Paranaense	Round 2	Fluminense 0-2 Náutico	Leandro Machado
Santos	Emerson Leão	Resigned	Round 3	Cruzeiro 4-0 Santos	Cuca
Botafogo	Cuca	Resigned	Round 3	Corinthians 2-1 Botafogo 1	Geninho
Internacional	Abel Braga	Left to sign with Al-Jazira	Round 4	Internacional 1-1 Sport	Tite
Ipatinga	Giba	Sacked	Round 6	Atlético Mineiro 4-2 Ipatinga	Ricardo Drubscky
Goiás	Oswaldo Alvarez	Sacked	Round 6	Goiás 0-3 Grêmio	Hélio dos Anjos
Figueirense	Guilherme Macuglia	Resigned	Round 7	Cruzeiro 3-0 Figueirense	Paulo César Gusmão
Botafogo	Geninho	Sacked	Round 10	Vitória 5-2 Botafogo	Ney Franco
Náutico	Leandro Machado	Sacked	Round 11	Náutico 0-2 Sport	Pintado
Portuguesa	Wagner Benazzi	Sacked	Round 13	Ipatinga 4-1 Portuguesa	Valdir Espinosa
Atlético Mineiro	Alexandre Gallo	Sacked	Round 16	Vasco 6-1 Atlético Mineiro	Marcelo Oliveira
Atlético Paranaense	Roberto Fernandes	Sacked	Round 17	Atlético Paranaense 0-3 Botafogo	Mário Sérgio
Santos	Cuca	Resigned	Round 18	Santos 2-3 Atlético Mineiro	Márcio Fernandes
Vasco	Antônio Lopes	Sacked	Round 18	Vasco 0-2 Coritiba	Tita
Náutico	Pintado	Sacked	Round 18	Atlético Paranaense 2-0 Náutico	Roberto Fernandes
Fluminense	Renato Gaúcho	Sacked	Round 19	Ipatinga 2-1 Fluminense	Cuca
Ipatinga	Ricardo Drubscky	Sacked	Round 21	Ipatinga 1-1 Santos	Márcio Bittencourt
Portuguesa	Valdir Espinosa	Sacked	Round 22	Palmeiras 4-2 Portuguesa	Estevam Soares
Atlético Paranaense	Mário Sérgio	Resigned	Round 24	Goiás 4-0 Atlético Paranaense	Geninho
Figueirense	Paulo César Gusmão	Sacked	Round 25	Sport 5-0 Figueirense	Mário Sérgio
Vasco	Tita	Resigned	Round 26	Palmeiras 3-0 Vasco 2	Renato Gaúcho
Fluminense	Cuca	Resigned	Round 28	Fluminense 1-1 Goiás	Renê Simões
Ipatinga	Márcio Bittencourt	Sacked	Round 31	Ipatinga 0-3 Botafogo	Enderson Moreira
