Week	Date	Opponent	Result	Attendance
1	August 31, 1997	at Buffalo Bills	W 34-13	79,139
2	September 7, 1997	at Chicago Bears	W 27-24	59,263
3	September 14, 1997	Tampa Bay Buccaneers	L 28-14	63,697
4	September 21, 1997	at Green Bay Packers	L 38-32	60,115
5	September 28, 1997	Philadelphia Eagles	W 28-19	55,149
6	October 5, 1997	at Arizona Cardinals	W 20-19	45,550
7	October 12, 1997	Carolina Panthers	W 21-14	62,625
8	Bye	Bye	Bye	Bye
9	October 26, 1997	at Tampa Bay Buccaneers	W 10-6	66,815
10	November 2, 1997	New England Patriots	W 23-18	62,917
11	November 9, 1997	Chicago Bears	W 29-22	63,443
12	November 16, 1997	at Detroit Lions	L 38-15	68,910
13	November 23, 1997	at New York Jets	L 23-21	70,131
14	December 1, 1997	Green Bay Packers	L 27-11	64,001
15	December 7, 1997	at San Francisco 49ers	L 28-17	55,761
16	December 14, 1997	Detroit Lions	L 14-13	60,982
17	December 21, 1997	Indianapolis Colts	W 39-28	54,107
