Game	Date	Team	Score	High points	High rebounds	High assists	Location Attendance	Record
47	February 1	Boston	L 88–99 (OT)	Caron Butler (20)	Caron Butler (11)	Randy Foye (4)	Verizon Center 20,173	16-31
48	February 3	@ New York	L 85–107 (OT)	Foye & Young (15)	Brendan Haywood (8)	Earl Boykins (6)	Madison Square Garden 19,225	16-32
49	February 5	@ Orlando	W 92–91 (OT)	Caron Butler (31)	Brendan Haywood (10)	Randy Foye (7)	Amway Arena 17,461	17-32
50	February 9	@ Charlotte	L 92–94 (OT)	Caron Butler (23)	Brendan Haywood (11)	Caron Butler (8)	Time Warner Cable Arena 12,376	17-33
51	February 17	Minnesota	W 108–99 (OT)	Andray Blatche (33)	Andray Blatche (13)	Earl Boykins (8)	Verizon Center 13,143	18-33
52	February 19	Denver	W 107–97 (OT)	Al Thornton (21)	Andray Blatche (11)	Mike Miller (7)	Verizon Center 17,212	19-33
53	February 20	@ Toronto	L 104–109 (OT)	Andray Blatche (24)	Miller & Howard (7)	Earl Boykins (6)	Air Canada Centre 19,149	19-34
54	February 22	Chicago	W 101–95 (OT)	Andray Blatche (25)	James Singleton (12)	Randy Foye (9)	Verizon Center 14,113	20-34
55	February 24	Memphis	L 94–99 (OT)	Andray Blatche (24)	Al Thornton (11)	Foye & Miller (7)	Verizon Center 11,875	20-35
56	February 26	New York	L 116–118 (OT) OT	Andray Blatche (26)	Andray Blatche (18)	Randy Foye (10)	Verizon Center 17,408	20-36
