Date	Competition	Venue	Result	Score	Goals
20/2/04	Super League IX	Odsal Stadium	W	34–6	Withers 3/7
7/3/04	Super League IX	Belle Vue	W	40–6	Deacon 4/8
21/3/04	Super League IX	McAlpine Stadium	W	20–6	Deacon 4/4
2/4/04	Super League IX	Odsal Stadium	W	25–18	Deacon 4/4, Withers 1 DG
8/4/04	Super League IX	Headingley Stadium	L	18–26	Deacon 3/3
12/4/04	Super League IX	Odsal Stadium	W	54–8	Deacon 1/5, Withers 3/4, Paul 1/2
23/4/04	Super League IX	Odsal Stadium	L	18–26	Deacon 5/5
27/4/04	Super League IX	Halliwell Jones Stadium	D	22–22	Deacon 3/4
3/5/04	Super League IX	Griffin Park	W	24–12	Deacon 2/5
9/5/04	Super League IX	Odsal Stadium	W	44–18	Deacon 6/8
23/5/04	Super League IX	Halton Stadium	W	30–20	Deacon 5/5
29/5/04	Super League IX	Knowsley Road	L	30–35	Deacon 5/5
5/6/04	Super League IX	Odsal Stadium	L	12–26	Deacon 2/2
13/6/04	Super League IX	The Willows	W	35–28	Bridge 4/4, Withers 1/2, Withers 1 DG
20/6/04	Super League IX	Odsal Stadium	W	40–12	Deacon 10/10
27/6/04	Super League IX	Odsal Stadium	W	38-30	Deacon 3/5, Bridge 2/2
4/7/04	Super League IX	The Jungle	W	60-12	Deacon 10/10
11/7/04	Super League IX	Odsal Stadium	W	36-26	Deacon 6/6
16/7/04	Super League IX	JJB Stadium	L	16-32	Deacon 2/3
25/7/04	Super League IX	Odsal Stadium	W	44-16	Deacon 4/5, Harris 2/3
1/8/04	Super League IX	KC Stadium	L	14-25	Deacon 3/3
8/8/04	Super League IX	Odsal Stadium	W	36-22	Deacon 6/6
13/8/04	Super League IX	Odsal Stadium	W	38-12	Deacon 4/5, Harris 1/2
20/8/04	Super League IX	Headingley Stadium	L	12-40	Deacon 2/2
30/8/04	Super League IX	KC Stadium	W	26-12	Deacon 3/5
5/9/04	Super League IX	Odsal Stadium	W	60-18	Deacon 10/10
12/9/04	Super League IX	Halliwell Jones Stadium	W	28-27	Deacon 3/5, Deacon 2 DG
19/9/04	Super League IX	Odsal Stadium	W	64-24	Deacon 10/11
