Mark	Wind*	Athlete	Nationality	Venue	Date
7.52m(24ft8in)	1.4	Galina Chistyakova	Soviet Union	Leningrad	June 11, 1988
7.49m(24ft6¾in)	1.3	Jackie Joyner-Kersee	United States	New York	May 22, 1994
7.48m(24ft6¼in)	1.2	Heike Drechsler	East Germany	Neubrandenburg	July 9, 1988
7.43m(24ft4½in)	1.4	Anişoara Cuşmir	Romania	Bucharest	June 4, 1983
7.42m(24ft4in)	2.0	Tatyana Kotova	Russia	Annecy	June 23, 2002
7.39m(24ft2¾in)	0.5	Yelena Belevskaya	Soviet Union	Bryansk	July 18, 1987
7.37m(24ft2in)	N/A	Inessa Kravets	Ukraine	Kiev	June 13, 1992
7.33m(24ft0½in)	0.4	Tatyana Lebedeva	Russia	Tula	July 31, 2004
7.31m(23ft11¾in)	1.5	Olena Khlopotnova	Soviet Union	Alma Ata	September 12, 1985
7.31m(23ft11¾in)	−0.1	Marion Jones	United States	Zürich	August 12, 1998
