Tournament	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004
Grand Slams	Grand Slams	Grand Slams	Grand Slams	Grand Slams	Grand Slams	Grand Slams	Grand Slams	Grand Slams	Grand Slams	Grand Slams	Grand Slams	Grand Slams	Grand Slams	Grand Slams	Grand Slams	Grand Slams	Grand Slams
Australian Open	A	A	A	1R	2R	3R	1R	A	3R	A	A	2R	3R	3R	2R	A	2R
French Open	A	A	A	A	3R	2R	A	A	A	1R	A	2R	QF	1R	2R	A	A
Wimbledon	A	A	3R	SF	1R	3R	SF	A	A	A	A	1R	2R	3R	2R	A	A
US Open	A	A	3R	2R	3R	3R	SF	A	A	QF	1R	A	SF	2R	3R	A	A
Win–Loss	0–0	0–0	4–2	5–2	5–4	7–4	8–3	0–0	2–1	3–2	0–1	2–3	10–4	5–3	5–4	0–0	1–1
ATP Masters Series	ATP Masters Series	ATP Masters Series	ATP Masters Series	ATP Masters Series	ATP Masters Series	ATP Masters Series	ATP Masters Series	ATP Masters Series	ATP Masters Series	ATP Masters Series	ATP Masters Series	ATP Masters Series	ATP Masters Series	ATP Masters Series	ATP Masters Series	ATP Masters Series	ATP Masters Series
Indian Wells	NME	NME	A	1R	QF	2R	2R	1R	2R	2R	1R	2R	SF	W	1R	W	A
Miami	NME	NME	A	W	SF	2R	2R	A	A	QF	QF	1R	2R	A	1R	A	A
Monte Carlo	NME	NME	A	A	QF	A	1R	A	A	A	2R	A	W	1R	A	A	A
Rome	NME	NME	A	1R	F	F	F	A	QF	A	1R	QF	F	W	2R	QF	A
Hamburg	NME	NME	A	1R	A	1R	A	W	1R	2R	1R	1R	2R	1R	SF	A	A
Canada	NME	NME	A	A	A	1R	1R	1R	A	A	A	F	2R	1R	QF	A	A
Cincinnati	NME	NME	A	QF	1R	2R	F	QF	A	1R	A	A	2R	2R	2R	A	A
Madrid (Stuttgart)	NME	NME	A	2R	2R	1R	A	QF	A	A	A	2R	QF	QF	A	A	A
Paris	NME	NME	A	1R	QF	A	A	A	A	A	A	QF	2R	A	A	A	A
Win–Loss	N/A	N/A	0–0	8–6	13–7	6–7	10–6	8–3	3–3	5–4	4–5	10–7	16–8	13–4	7–5	7–1	0–0
Year End Ranking	511	357	87	25	31	35	19	59	100	114	66	31	14	31	56	85	495
