Outcome	Date	Surface	Partner	Opponents	Score
Runner-up	14 April 2008	Clay	Pablo Cuevas	Ernests Gulbis Rainer Schüttler	5–7, 6–7 (3–7)
Winner	14 February 2009	Clay	Tommy Robredo	Lucas Arnold Ker Juan Mónaco	6–4, 7–5
Winner	22 February 2009	Clay	Alberto Martín	Nicolás Almagro Santiago Ventura	6–3, 5–7, [10–8]
Winner	22 October 2009	Hard (i)	Pablo Cuevas	František Čermák Michal Mertiňák	4–6, 7–5, [10–8]
Runner-up	8 November 2009	Hard (i)	Tommy Robredo	František Čermák Michal Mertiňák	4–6, 3–6
Runner-up	15 November 2009	Hard (i)	Tommy Robredo	Daniel Nestor Nenad Zimonjić	3–6, 4–6
Winner	10 January 2010	Hard	Santiago Ventura	Lu Yen-Hsun Janko Tipsarević	7–5, 6–2
Winner	14 February 2010	Clay	Pablo Cuevas	Łukasz Kubot Oliver Marach	7–5, 6–4
Runner-up	9 May 2010	Clay	Pablo Cuevas	Marc López David Marrero	7–6 (7–1) , 4–6, [4–10]
Runner-up	26 September 2010	Clay	Santiago Ventura	Juan Ignacio Chela Łukasz Kubot	2–6, 7–5, [11–13]
Winner	15 January 2011	Hard	Tommy Robredo	Johan Brunström Stephen Huss	6–4, 7–6 (8–6)
Runner-up	6 February 2011	Hard (i)	Marc López	Dick Norman Horia Tecău	3–6, 4–6
Runner-up	16 July 2011	Clay	Marc López	Jürgen Melzer Philipp Petzschner	3–6, 4–6
Runner-up	4 March 2012	Clay	Marc López	David Marrero Fernando Verdasco	3–6, 4–6
Runner-up	29 April 2012	Clay	Marc López	Mariusz Fyrstenberg Marcin Matkowski	6–2, 6–7 (7–9) , [8–10]
Winner	20 May 2012	Clay	Marc López	Łukasz Kubot Janko Tipsarević	6–3, 6–2
Runner-up	14 July 2012	Clay	Marc López	David Marrero Fernando Verdasco	3–6, 6–7 (4–7)
Winner	22 July 2012	Clay	Marc López	Robert Farah Santiago Giraldo	6–4, 7–6 (11–9)
Runner-up	12 August 2012	Clay	Marc López	Bob Bryan Mike Bryan	1–6, 6–4, [10–12]
Winner	12 November 2012	Hard (i)	Marc López	Mahesh Bhupathi Rohan Bopanna	7–5, 3–6, [10–3]
Runner-up	18 August 2013	Hard	Marc López	Bob Bryan Mike Bryan	4-6, 6-4, [4-10]
