Opposing Teams	Against	Date	Venue	Status
Italy	9	15/02/2004	Stadio Flaminio , Rome	Six Nations
Scotland	13	21/02/2004	Murrayfield , Edinburgh	Six Nations
Ireland	19	06/03/2004	Twickenham , London	Six Nations
Wales	21	20/03/2004	Twickenham , London	Six Nations
France	24	27/03/2004	Stade de France , Saint-Denis	Six Nations
New Zealand	36	12/06/2004	Carisbrook , Dunedin	First Test
New Zealand	36	19/06/2004	Eden Park , Auckland	Second Test
Australia	51	26/06/2004	Suncorp Stadium , Brisbane	Test Match
Canada	0	13/11/2004	Twickenham , London	Test Match
South Africa	16	20/11/2004	Twickenham , London	Test Match
Australia	21	27/11/2004	Twickenham , London	Test Match
