Club	Home city	Stadium	First season in the Serie A	First season in current spell	Last title
Barcelona	Guayaquil	Monumental Banco Pichincha	1957	1965	2012
Deportivo Cuenca	Cuenca	Alejandro Serrano Aguilar	1971	2002	2004
Deportivo Quevedo	Quevedo	7 de Octubre	1982	2013	N/A
Deportivo Quito	Quito	Olímpico Atahualpa	1957	1980	2011
El Nacional	Quito	Olímpico Atahualpa	1964	1980	2006
Emelec	Guayaquil	George Capwell	1957	1981	2002
Independiente del Valle	Sangolquí	Rumiñahui	2010	2010	N/A
LDU Loja	Loja	Federativo Reina del Cisne	2005	2011	N/A
LDU Quito	Quito	Casa Blanca	1960	2002	2010
Macará	Ambato	Bellavista	1960	2012	N/A
Manta	Manta	Jocay	2003	2009	N/A
