Rider	Horse	Faults	Round 1 + 2A + 2B + 3A Points	Total
Beezie Madden	Authentic	0	4.000	4.000
Jos Lansink	Cavalor Cumano	0	5.005	5.005
Meredith Michaels-Beerbaum	Shutterfly	0	9.920	9.920
Edwina Alexander	Isovlas Pialotta	0	10.235	10.235
Ludger Beerbaum	L'Espoir	4	6.695	10.695
Gerco Schröder	Eurocommerce Berlin	4	8.425	12.425
McLain Ward	Sapphire	0	12.865	12.865
Michael Whitaker	Insul Tech Portofino	0	13.525	13.525
Ludo Philippaerts	Parco	0	14.045	14.045
Niklaus Schurtenberger	Cantus	4	10.635	14.635
Jeroen Dubbeldam	BMC Up and Down	4	12.100	16.100
Bernardo Alves	Canturo	4	13.355	17.355
Christina Liebherr	L.B. No Mercy	4	14.520	18.520
Royne Zetterman	Isaac	4	17.075	21.075
Jean-Claude Van Geenberghe	Osta Rugs Tresor	4	18.375	22.375
Ricardo Jurado	Procasa le Monde	4	19.270	23.270
Samantha McIntosh	Loxley	0	24.015	24.015
Sergio Alvarez Moya	Le Rève du Nabab	8	17.235	25.235
Rolf-Göran Bengtsson	Ninja la Silla	8	17.910	25.910
Albert Zoer	Okidoki	8	18.480	26.480
Geir Gulliksen	Cattani	4	22.840	26.840
Katharina Offel	Atlanta	12	22.420	34.420
Luciana Diniz	Dover	Did Not Start	Did Not Start	16.160
Marie Burke	Chippison	Did Not Start	Did Not Start	30.710
