Starting price	Number	Name	Age	Weight (st, lb)	Jockey	Trainer	Owner	Colours
8/1 JF	4	Monkerhostin	10	11-6	Richard Johnson	Philip Hobbs	M. G. St. Quinton	Yellow and pink diamonds, yellow sleeves and cap
8/1 JF	13	Point Barrow	9	10-12	Philip Carberry	Philip Hughes ( Ireland )	P. Clune Hughes	Violet with purple trim and quartered cap
12/1	35	McKelvey	8	10-4	Tom O'Brien	Peter Bowen	N. Elliott	Green with red V, checked cap
14/1	25	Longshanks	10	10-7	Tony Dobbin	Kim Bailey	Alan Halsall	Blue with dark green sleeves and cap
14/1	7	Numbersixvalverde	11	11-3	Niall Madden	Martin Brassill (Ireland)	Bernard Carroll	Green with black sleeves and white cap
16/1	6	Billyvoddan	8	11-4	Leighton Aspell	Henry Daly	Trevor Hemmings	Green and yellow quarters, white sleeves and cap
16/1	2	Eurotrek	11	11-8	Liam Heard	Paul Nicholls	Paul Green	Blue with dark blue diamond on body and cap
16/1	3	L'ami	8	11-8	Tony McCoy	François Doumen ( France )	J. P. McManus	Green and orange hoops, white cap
20/1	26	Bothar Na	10	10-7	David Casey	Willie Mullins (Ireland)	Mrs. Michael O'Dwyer	Green with red sash, sleeves and cap
20/1	8	Idle Talk	8	11-2	Jason Maguire	Donald McCain, Jr.	Trevor Hemmings	Yellow and green quarters, white sleeves, red cap
20/1	15	Simon	8	10-11	Andrew Thornton	John Spearing	Mercy Rimell	Claret with sky blue spots on body, reversed cap
33/1	17	Clan Royal	12	10-9	John P. McNamara	Jonjo O'Neill	J. P. McManus	Green and orange hoops, green cap with white star
33/1	28	Homer Wells	9	10-6	David Condon	Willie Mullins (Ireland)	Margaret McMahon	Purple, yellow V and cap
33/1	22	Slim Pickings	8	10-8	Barry Geraghty	Tom Taaffe	Doubtful Five syndicate	White with blue checks, sleeves and cap
40/1	29	Liberthine ( mare )	8	10-6	Mr. Sam Waley-Cohen	Nicky Henderson	Robert Waley-Cohen	Brown with orange sleeves, quartered cap
50/1	14	Celtic Son	8	10-11	Timmy Murphy	David Pipe	David Johnson	Blue, green sleeves, white cap with green spots
66/1	40	Le Duc	8	10-2	Dominic Elsworth	Paul Nicholls	Stewart Family	Black and white halves, red sleeves and cap
66/1	23	Zabenz	10	10-8	Barry Fenton	Philip Hobbs	Michael Watt	Khaki with green cap
100/1	10	Cloudy Bays	10	11-0	Andrew McNamara	Charles Byrne (Ireland)	Cloudy Bay syndicate	Black and white stripes with quartered cap
100/1	21	Kandjar D'allier	9	10-8	Robert Thornton	Alan King	Let's Live Racing	Sky with black centre pin stripe and armbands
100/1	11	Knowhere	9	10-13	Tom Doyle	Nigel Twiston-Davies	Raymond Mould	Green with white stars
125/1	34	Tikram	9	10-5	Wayne Hutchinson	Alan King	Mike Charlton & Roger Sargent	Green with range sleeves and cap
