Region	Prison inmates Men	Prison inmates Women	Prison inmates Total	Incarceration rate Male	Incarceration rate Female	Incarceration rate Total	Country comparison
Arica and Parinacota	1883	384	2267	2096	404	1226	none, too high
Tarapacá	2247	391	2638	1376	259	839	none, too high
Antofagasta	2181	214	2395	728	78	416	Anguilla
Atacama	1093	153	1246	763	111	444	Belize
Coquimbo	2049	139	2188	576	38	304	Puerto Rico
Valparaíso	5120	444	5564	591	50	316	Latvia
Santiago	19299	2225	21524	575	63	313	Thailand
O'Higgins	2498	195	2693	561	45	305	Puerto Rico
Maule	2091	113	2204	416	22	219	Swaziland
Biobío	3739	253	3992	373	24	196	Gabon
Araucanía	2395	104	2499	498	21	258	Estonia
Los Ríos	1185	36	1221	625	19	322	Panama
Los Lagos	1908	69	1977	449	17	236	United Arab Emirates
Aisén	201	5	206	364	10	196	Gabon
Magallanes	336	9	345	403	12	217	Swaziland
