Place	Player	Country	Score	To par
T1	David Graham	Australia	68-71=139	–1
T1	Sandy Lyle	Scotland	68-71=139	–1
T3	Tony Johnstone	Zimbabwe	68-72=140	E
T3	Christy O'Connor Jnr	Ireland	64-76=140	E
T3	D. A. Weibring	United States	69-71=140	E
T6	Howard Clark	England	70-71=141	+1
T6	Bernhard Langer	West Germany	72-69=141	+1
T6	Robert Lee	England	68-73=141	+1
T6	Wayne Riley	Australia	71-70=141	+1
T6	Emilio Rodríguez	Spain	71-70=141	+1
T6	Peter Senior	Australia	70-71=141	+1
T6	Ian Woosnam	Wales	70-71=141	+1
