Week	Date	Opponent	Result	Attendance
1	September 8, 1963	at San Diego Chargers	L 14–10	22,344
2	September 15, 1963	at Oakland Raiders	L 35–17	17,568
3	September 22, 1963	Kansas City Chiefs	T 27–27	33,487
4	September 28, 1963	Houston Oilers	L 31–20	32,340
5	October 5, 1963	Oakland Raiders	W 12–0	24,486
6	October 13, 1963	at Kansas City Chiefs	W 35–26	25,519
7	October 20, 1963	at Houston Oilers	L 28–14	23,948
8	October 26, 1963	Boston Patriots	W 28–21	27,243
9	November 3, 1963	at Denver Broncos	W 30–28	19,424
10	November 9, 1963	Denver Broncos	W 27–17	30,989
11	November 17, 1963	San Diego Chargers	L 23–13	38,592
12	Bye	Bye	Bye	Bye
13	December 1, 1963	at Boston Patriots	L 17–7	16,981
14	December 8, 1963	New York Jets	W 45–14	20,222
15	December 14, 1963	at New York Jets	W 19–10	6,526
