Episode	Garfield Episode 1	U.S. Acres Episode	Garfield Episode 2	Original Airdate
"Show 40"	Skyway Robbery	The Bunny Rabbits is Coming!	Close Encounters of the Garfield Kind	September15,1990
"Show 41"	Astrocat	Cock-A-Doodle Duel	Cinderella Cat	September15,1990
"Show 42"	Ship Shape	Barn of Fear II	Break a Leg	September22,1990
"Show 43"	Twice Told Tale	Orson Goes On Vacation	Wedding Bell Blues	September22,1990
"Show 44"	Clean Sweep	Secrets of the Animated Cartoon	How the West was Lost	September29,1990
"Show 45"	Binky Gets Cancelled Again!	Orson's Diner	Flat Tired	September29,1990
"Show 46"	Return of the Buddy Bears	Much Ado About Lanolin	Reigning Cats and Dogs	October6,1990
"Show 47"	Fit for a King	Ben Hog	Dessert in the Desert	October6,1990
"Show 48"	Hounds of the Arbuckles	Read Alert	Urban Arbuckle	October13,1990
"Show 49"	Odielocks and the Three Cats	Quack to the Future	Beddy Buy	October13,1990
"Show 50"	Count Lasagna	Mystery Guest	Rodent Rampage	October20,1990
"Show 51"	The Feline Felon	The Legal Eagle	The Cactus Saga	October20,1990
"Show 52"	D.J. Jon	Cornfinger	Five Minute Warning	October27,1990
"Show 53"	Wonderful World	The Orson Awards	The Garfield Workout	October27,1990
"Show 54"	All Things Fat and Small	Robin Hog	Hare Replacement	November3,1990
"Show 55"	Stick to It	Orson in Wonderland	For Cats Only	November10,1990
"Show 56"	Mistakes will Happen	The Well Dweller	The Wise Man	November17,1990
