Episode	Theme	Song choice	Original artist	Order #	Result
Audition	Auditioner's Choice	"Uomini semplici"	Eduardo De Crescenzo	N/A	Advanced
Bootcamp	Auditioner's Choice	"La luce dell'est"	Lucio Battisti	N/A	Advanced
Bootcamp	Auditioner's Choice	" We Can Work It Out "	The Beatles	N/A	Advanced
Bootcamp	Auditioner's Choice	" (You Make Me Feel Like) A Natural Woman "	Aretha Franklin	N/A	Advanced
Bootcamp	Auditioner's Choice	" I'm Outta Love "	Anastacia	N/A	Advanced
Live Show 1	Mentor's Choice	" Man in the Mirror "	Michael Jackson	5	Safe
Live Show 2	Mentor's Choice	" L'amore si odia "	Noemi feat. Fiorella Mannoia	2	Safe
Live Show 3	1980s in music	" Notorious "	Duran Duran	1	Safe
Live Show 4	Mentor's Choice	" Psycho Killer "	Talking Heads	6	Safe
Live Show 5	Mentor's Choice	" My Baby Just Cares for Me "	Nina Simone	4	Safe
Live Show 6	Mentor's Choice	" Ashes to Ashes "	David Bowie	5	Safe
Live Show 7	Mentor's Choice	" Helter Skelter "	The Beatles	3	Safe
Live Show 8	Mentor's Choice	"Insieme a te sto bene"	Lucio Battisti	2	Safe
Live Show 8	Acappella Songs	"L'appuntamento"	Ornella Vanoni	12	Safe
Live Show 9	Sanremo Music Festival	" Almeno tu nell'universo "	Mia Martini	6	Safe
Live Show 10	Italian-language Songs	"Onda su onda"	Bruno Lauzi	1	Safe
Live Show 10	Michael Jackson	" Billie Jean "	Michael Jackson	11	Safe
Live Show 11	Mentor's Choice	" Kiss "	Prince and The Revolution	5	Safe
Live Show 11	Mentor's Choice	"Il nostro concerto"	Umberto Bindi	6	Safe
Live Show 12	Mentor's Choice	" Back in Black "	AC/DC	4	Safe
Live Show 12	Acappella Songs	"Senza fine"	Gino Paoli	5	Safe
Live Show 12	Winner's Song	" Dove si vola "	Marco Mengoni	12	Safe
Final	Celebrity Duets	"Oggi sono io" (with Alex Britti)	Alex Britti	3	Safe
Final	Mentor's Choice	"Amore assurdo"	Morgan	5	Safe
Final	Winner's Song	"Dove si vola"	Marco Mengoni	7	Safe
