Song	Singer	Co-Singers	Music Director	Lyricist	Co-Stars	Movie/Album	Year	Additional Info
Holi Hai Holi Sakhi	Asha Bhosle	N/A	Madan Mohan Kohli	Rajendra Krishan	Cuckoo	Khota Paisa	1958	Jogi or Sanyasi
Jogiya Jogiya	Asha Bhosle	N/A	Madan Mohan Kohli	Rajendra Krishan	Shyama (as Menaka)	Khota Paisa	1958	Jogi or Sanyasi (as Vishwamitra)
O O Jaane Jaa	Asha Bhosle	N/A	Madan Mohan Kohli	Rajendra Krishan	Jeevankala	Khota Paisa	1958	Shethji with flower-Bouque
O Deewane Angrez	Asha Bhosle	N/A	Ravi Shankar Sharma (Bombay Ravi)	Shamshul Huda Bihari	Helen	Modern Girl	1961	Drunkard Club Guest
Raat Bhar Gardish Mein Saathi	Asha Bhosle	N/A	Ravi Shankar Sharma (Bombay Ravi)	Shakeel Badayuni	Helen	Wanted	1961	Chauffeur Photgrapher Tipping Dancer
Babu Re Babu Re Babu Re	Asha Bhosle	N/A	Ravi Shankar Sharma (Bombay Ravi)	Rajendra Krishan	Helen	Jawani Ki Hawa	1959	Detective Picking Through Window
Nain Hamare Do Pyaliyan Raswaliya Kar Denge Jadoo	Asha Bhosle	N/A	O. P. Nayyar	Hasrat Jaipuri	Minu Mumtaz	Mr. Quartoon M. A.	1958	Dinner Show Attendee
Jeene Do Aur Jiyo	Asha Bhosle	N/A	Sachin Dev Burman	Sahir Ludhianvi	Sheila Ramani	Taxi Driver	1954	Club Attendee
Main Hoon Phooljhadi	Asha Bhosle	N/A	Datta Naik	Qamar Jalalabadi	VijayaLaxmi	Marine Drive	1955	Club Attendee
Zindagi Ka Nasha Halka Halka Suroor	Asha Bhosle	N/A	C. Ramchandra	Shakeel Badayuni	Bela Bose	Wahan Ke Log	1967	Club Attendee
Dil Laga Kar Hum Yeh Samajhe Zindagi Kya Cheez Hai	Asha Bhosle	N/A	C. Ramchandra	Shakeel Badayuni	Faryal	Zindagi Aur Maut	1965	Friend
Jali Lo Dim Tana	Asha Bhosle	N/A	C. Ramchandra	Rajendra Krishan	Padmini and Ragini	Amar Deep	1958	Drummer
Main Albeli Pyar Jata Kar	Asha Bhosle	N/A	Shankar-Jaikishan	Hasrat Jaipuri	Helen	Shikar	1968	Prince of Tribe
Uthi Uthi Yeh & Hay Hay Rasiya Tu	Asha Bhosle	N/A	Naushad	Shakeel Badayuni	VijayaLaxmi	Dil Diya Dard Liya	1966	Mujra Dance Attendee
Pyar Karnewale Pyar Karte Hai Shaan Se	Asha Bhosle	N/A	Rahul Dev Burman	Anand Bakshi	Parveen Babi	Shaan	1983	Club Attendee and Dancer
Mere Jawani Ter Deewani	Asha Bhosle	N/A	Rahul Dev Burman	Anjaan	Helen	Hungama	1971	Nautanki Dance Attendee
