Game	Date	Team	Score	High points	High rebounds	High assists	Location Attendance	Record
15	December 1	@ Chicago	95–111	Jason Richardson (22)	Emeka Okafor (9)	Gerald Wallace (7)	United Center 21,729	6–9
16	December 3	@ Toronto	79–98	Gerald Wallace (19)	Jared Dudley (10)	Jeff McInnis (5)	Air Canada Centre 17,439	6–10
17	December 5	Chicago	82–91	Gerald Wallace (22)	Emeka Okafor (10)	Raymond Felton (6)	Time Warner Cable Arena 13,227	6–11
18	November 6	Cleveland	96–93	Gerald Wallace (22)	Jason Richardson (8)	Jason Richardson (6)	Time Warner Cable Arena 17,624	7–11
19	December 9	@ Detroit	82–91	Jason Richardson (15)	Derek Anderson (5)	Raymond Felton (6)	Palace of Auburn Hills 22,076	7–12
20	December 12	L.A. Clippers	108–103	Raymond Felton (26)	Emeka Okafor (16)	Jeff McInnis (8)	Time Warner Cable Arena 10,751	8–12
21	December 14	Orlando	82–91	Raymond Felton (18)	Emeka Okafor (12)	Raymond Felton (6)	Time Warner Cable Arena 19,109	8–13
22	December 15	@ Atlanta	84–93	Gerald Wallace (24)	Emeka Okafor (14)	Raymond Felton (5)	Philips Arena 14,040	8–14
23	December 19	Utah	98–92	Gerald Wallace (26)	Emeka Okafor (9)	Raymond Felton (7)	Time Warner Cable Arena 13,014	9–14
24	December 21	New York	105–95	Gerald Wallace (27)	Nazr Mohammed (14)	Raymond Felton (9)	Time Warner Cable Arena 15,130	10–14
25	December 22	@ Milwaukee	99–103	Jason Richardson (30)	Nazr Mohammed (11)	Raymond Felton (9)	Bradley Center 15,796	10–15
26	December 26	Washington	104–108	Gerald Wallace (32)	Nazr Mohammed (12)	Gerald Wallace (6)	Time Warner Cable Arena 14,705	10–16
27	December 28	New Orleans	85–99	Jason Richardson (25)	Nazr Mohammed (14)	Jeff McInnis (6)	Time Warner Cable Arena 18,237	10–17
28	December 29	@ Orlando	92–104	Jason Richardson (34)	Emeka Okafor (9)	Gerald Wallace (7)	Amway Arena 17,519	10–18
29	December 31	Indiana	107–103 (OT)	Gerald Wallace (36)	Emeka Okafor (10)	Raymond Felton (6)	Time Warner Cable Arena 12,223	11–18
