Game	Date	Team	Score	High points	High rebounds	High assists	Location Attendance	Record
60	March 1	Houston	L 87–103 (OT)	Nicolas Batum (22)	Gerald Wallace (10)	Andre Miller (6)	Rose Garden 20,272	33–27
61	March 2	@ Sacramento	W 107–102 (OT)	Wesley Matthews (21)	Marcus Camby (13)	Andre Miller (6)	Power Balance Pavilion 12,286	34–27
62	March 5	Charlotte	W 93–69 (OT)	LaMarcus Aldridge (26)	Marcus Camby (10)	Andre Miller (6)	Rose Garden 20,588	35–27
63	March 7	@ Orlando	W 89–85 (OT)	LaMarcus Aldridge (24)	Marcus Camby , Gerald Wallace (10)	Andre Miller (7)	Amway Center 19,001	36–27
64	March 8	@ Miami	W 105–96 (OT)	LaMarcus Aldridge (26)	Gerald Wallace (9)	Andre Miller , Wesley Matthews (5)	American Airlines Arena 19,835	37–27
65	March 11	@ Charlotte	L 92–97 (OT)	Wesley Matthews (20)	Marcus Camby (11)	Andre Miller (9)	Time Warner Cable Arena 18,176	37–28
66	March 12	@ Atlanta	L 82–91 (OT)	LaMarcus Aldridge (22)	Gerald Wallace (12)	LaMarcus Aldridge (7)	Philips Arena 15,522	37–29
67	March 15	Dallas	W 104–101 (OT)	LaMarcus Aldridge (30)	LaMarcus Aldridge , Marcus Camby (8)	Nicolas Batum (5)	Rose Garden 20,631	38–29
68	March 17	Cleveland	W 111–70 (OT)	LaMarcus Aldridge (20)	LaMarcus Aldridge (11)	Andre Miller , Gerald Wallace (6)	Rose Garden 20,235	39–29
69	March 19	Philadelphia	W 110–101 (OT)	Gerald Wallace (25)	LaMarcus Aldridge (7)	Gerald Wallace (8)	Rose Garden 20,637	40–29
70	March 20	@ L.A. Lakers	L 80–84 (OT)	Nicolas Batum (25)	Marcus Camby (10)	Andre Miller (5)	Staples Center 18,997	40–30
71	March 22	Washington	W 111–76 (OT)	Gerald Wallace (28)	Nicolas Batum (12)	Andre Miller (11)	Rose Garden 20,624	41–30
72	March 25	San Antonio	W 98–96 (OT)	Nicolas Batum , Andre Miller (21)	Gerald Wallace (10)	Andre Miller (8)	Rose Garden 20,644	42–30
73	March 27	@ Oklahoma City	L 90–99 (OT)	Gerald Wallace (40)	Marcus Camby (13)	Andre Miller (5)	Oklahoma City Arena 18,203	42–31
74	March 28	@ San Antonio	W 100–92 (OT)	Andre Miller (26)	Nicolas Batum (13)	Brandon Roy (4)	AT&T Center 18,583	43–31
