Draw	Language	Artist	Song	Place	Points
01	Romanian , Italian	Nico and Vlad	" Pe-o margine de lume "	20	45
02	English	Andy Abraham	" Even If "	25 [D]	14
03	Albanian	Olta Boka	" Zemrën e lamë peng "	17	55
04	English	No Angels	" Disappear "	23 [D]	14
05	English , Armenian	Sirusho	" Qélé, Qélé " (Քելե Քելե)	04	199
06	Bosnian	Laka	" Pokušaj "	10	110
07	Hebrew , English	Boaz Ma'uda	" The Fire in Your Eyes "	09	124
08	Finnish	Teräsbetoni	" Missä miehet ratsastaa "	22	35
09	Croatian	Kraljevi Ulice and 75 cents	" Romanca "	21	44
10	English	Isis Gee	" For Life "	24 [D]	14
11	English	Euroband	" This Is My Life "	14	64
12	Turkish	Mor ve Ötesi	" Deli "	07	138
13	Portuguese	Vânia Fernandes	" Senhora do mar (Negras águas) "	13	69
14	English	Pirates of the Sea	" Wolves of the Sea "	12	83
15	English	Charlotte Perrelli	" Hero "	18	47
16	English	Simon Mathew	" All Night Long "	15	60
17	English	Diana Gurtskaya	" Peace Will Come "	11	83
18	English	Ani Lorak	" Shady Lady "	02	230
19	English , French	Sébastien Tellier	" Divine "	19	47
20	English	Elnur and Samir	" Day After Day "	08	132
21	English	Kalomira	" Secret Combination "	03	218
22	Spanish , English	Rodolfo Chikilicuatre	" Baila el Chiki-chiki "	16	55
23	Serbian	Jelena Tomašević feat. Bora Dugić	" Oro " (Оро)	06	160
24	English	Dima Bilan	" Believe "	01	272
25	English	Maria Haukaas Storeng	" Hold On Be Strong "	05	182
