Year	BB Pop	BB CW	BB RB	BB EL	CB CW	RIAA
1958	–	–	–	–	–	P
1958	4 / 8	24/	10/	–	6 /13	P
1959	2 / 4	–	16/	–	– /23	P
1959	1 (2) /12	–	10/15	–	36/	G
1960	1 (4) /17	27/	6 /	–	–	P
1960	1 (5) /32	–	7 /	–	–	P
1960	1 (6) /20	22/	3 /	–	–	M2
1961	1(2) /32	–	–	–	–	P
1961	14	–	–	–	–	–
1961	5 /26	–	15/	–	–	G
1961	4 / 5	–	–	2 /	–	G
1961	2 /23	–	–	1 (6) /	–	P
1962	1 / 31	–	–	–/ 6	–	P
1962	15	–	–	5	–	P
1962	5 /55	–	13/	2 /14	–	G
1962	30	–	–	–	–	G
1962	2 /99	–	5 /	–	–	P
1963	11/53	–	21/	–	–	G
1963	3 /	–	9 /	–	–	G
1963	8 /32	–	20/	–	–	G
