Outcome	Date	Tournament	Surface	Partner	Opponents	Score
Runner-up	28 July 1986	Berkeley, California , USA	Hard	Amy Holton	Beth Herr Alycia Moulton	1–6, 2–6
Runner-up	16 October 1988	Filderstadt , Germany	Carpet	Raffaella Reggi	Iwona Kuczyńska Martina Navratilova	1–6, 4–6
Winner	20 August 1989	Albuquerque , New Mexico, USA	Hard	Nicole Provis	Raffaella Reggi Arantxa Sánchez Vicario	4–6, 6–4, 6–2
Runner-up	15 October 1989	Filderstadt , Germany	Carpet	Raffaella Reggi	Gigi Fernández Robin White	4–6, 6–7
Runner-up	22 October 1989	Bayonne , France	Hard	Raffaella Reggi	Manon Bollegraf Catherine Tanvier	6–7, 5–7
Winner	20 May 1990	Berlin , Germany	Clay	Nicole Provis	Hana Mandlíková Jana Novotná	6–2, 6–1
Winner	27 May 1990	Strasbourg , France	Clay	Nicole Provis	Kathy Jordan Liz Smylie	6–1, 6–4
Runner-up	12 May 1991	Rome , Italy	Clay	Nicole Provis	Jennifer Capriati Monica Seles	5–7, 2–6
Runner-up	20 May 1991	Berlin , Germany	Clay	Nicole Provis	Larisa Savchenko Natalia Zvereva	3–6, 3–6
Runner-up	16 June 1991	Birmingham , England	Grass	Sandy Collins	Nicole Provis Liz Smylie	3–6, 4–6
Runner-up	3 November 1991	Scottsdale, Arizona , USA	Hard	Sandy Collins	Mareen Harper Cammy MacGregor	5–7, 6–3, 3–6
Winner	10 November 1991	Brentwood, Tennessee , USA	Hard	Sandy Collins	Yayuk Basuki Caroline Vis	5–7, 6–4, 7–6
Winner	24 May 1992	Zürich , Switzerland	Clay	Amy Frazier	Karina Habšudová Marianne Werdel	7–5, 6–2
Runner-up	14 June 1992	Birmingham , England	Grass	Sandy Collins	Lori McNeil Rennae Stubbs	7–5, 3–6, 6–8
Winner	1 November 1992	San Juan, Puerto Rico	Hard	Amanda Coetzer	Gigi Fernández Kathy Rinaldi	6–2, 4–6, 6–2
Winner	14 November 1992	Indianapolis , Indiana, USA	Hard (i)	Katrina Adams	Sandy Collins Mary-Lou Daniels	5–7, 6–2, 6–4
Winner	7 February 1993	Auckland , New Zealand	Hard	Isabelle Demongeot	Jill Hetherington Kathy Rinaldi	6–2, 6–4
Winner	6 November 1994	Quebec City , Canada	Carpet	Nathalie Tauziat	Linda Wild Chanda Rubin	6–4, 6–3
Winner	5 February 1995	Auckland , New Zealand	Hard	Jill Hetherington	Laura Golarsa Caroline Vis	7–6, 6–2
