Week	Date	Opponent	Result	Record	Time
1	September 1, 1996	Oakland Raiders	W 19–14	1–0–0	1:00PM
2	September 8, 1996	at Pittsburgh Steelers	L 31–17	1–1–0	1:00PM
3	September 15, 1996	at Houston Oilers	L 29–13	1–2–0	1:00PM
4	Bye	Bye	Bye	Bye	Bye
5	September 29, 1996	New Orleans Saints	W 17–10	2–2–0	1:00PM
6	October 6, 1996	New England Patriots	L 46–38	2–3–0	1:00PM
7	October 13, 1996	at Indianapolis Colts	L 26–21	2–4–0	8:00PM
8	October 20, 1996	at Denver Broncos	L 45–34	2–5–0	4:00PM
9	October 27, 1996	St. Louis Rams	W 37–31 OT	3–5–0	1:00PM
10	November 3, 1996	Cincinnati Bengals	L 24–21	3–6–0	1:00PM
11	November 10, 1996	at Jacksonville Jaguars	L 30–27	3–7–0	4:00PM
12	November 17, 1996	at San Francisco 49ers	L 38–20	3–8–0	4:00PM
13	November 24, 1996	Jacksonville Jaguars	L 28–25 OT	3–9–0	1:00PM
14	December 1, 1996	Pittsburgh Steelers	W 31–17	4–9–0	1:00PM
15	December 8, 1996	at Cincinnati Bengals	L 21–14	4–10–0	1:00PM
16	December 15, 1996	at Carolina Panthers	L 27–16	4–11–0	1:00PM
17	December 22, 1996	Houston Oilers	L 24–21	4–12–0	1:00PM
