Pick #	MLS Team	Player	Position	Affiliation
25	MetroStars	Chris Corcoran	M	St. Johns University
26	C.D. Chivas USA	Aaron Lopez	D	UCLA
27	F.C. Dallas	Winston Marshall	D	Wright State University
28	F.C. Dallas	Chris Gomez	GK	Brown University
29	Chicago Fire	Chris Rolfe	F	University of Dayton
30	San Jose Earthquakes	Victor Arbelaez	M	UNLV
31	San Jose Earthquakes	Orlando Ramirez	F	Fresno Pacific University
32	San Jose Earthquakes	C.J. Klaas	D	University of Washington
33	New England Revolution	Tony Lochhead	D	UC Santa Barbara
34	Los Angeles Galaxy	* Quavas Kirk	F	Generation adidas
35	Chicago Fire	Gonzalo Segares	D	Virginia Commonwealth University
36	Chicago Fire	Thabiso Khumalo	M	Coastal Carolina University
