Date	Opponents	Score	Competition	Match Report
July 6, 2005	Zillertal XI	10-0	F	eintracht-archiv.de
July 10, 2005	FC Augsburg	1-0	F	eintracht-archiv.de
July 14, 2005	FC Viktoria 09 Urberach	12-1	F	eintracht-archiv.de
July 17, 2005	Eintracht Wetzlar	12-0	F	eintracht-archiv.de
July 20, 2005	Beşiktaş JK	1-1	F	eintracht-archiv.de
July 23, 2005	Crystal Palace	1-1	F	eintracht-archiv.de
July 24, 2005	Allgäu XI	1-1	F	eintracht-archiv.de
July 27, 2005	Odenwald XI	6-1	F	eintracht-archiv.de
July 30, 2005	Karlsruher SC	2-0	F	eintracht-archiv.de
August 2, 2005	TuS Dehrn	21-0	F	eintracht-archiv.de
August 7, 2005	Bayer 04 Leverkusen	1-4	BL	ESPN
August 13, 2005	Hertha BSC Berlin	0-2	BL	ESPN
August 19, 2005	Rot-Weiß Oberhausen	2-1	GC	eintracht-archiv.de
August 27, 2005	1. FC Nuremberg	1-0	BL	ESPN
September 2, 2005	SC Paderborn 07	0-0	F	eintracht-archiv.de
September 6, 2005	Rot-Weiß Walldorf	6-1	F	eintracht-archiv.de
September 10, 2005	Hannover 96	0-2	BL	ESPN
September 17, 2005	Hamburger SV	1-1	BL	ESPN
September 20, 2005	FC Bayern Munich	0-1	BL	ESPN
September 24, 2005	VfL Wolfsburg	0-1	BL	ESPN
October 1, 2005	FC Schalke 04	0-1	BL	ESPN
October 7, 2005	SSV Jahn Regensburg	2-1	F	eintracht-archiv.de
October 16, 2005	MSV Duisburg	1-0	BL	ESPN
October 22, 2005	1. FC Köln	6-3	BL	ESPN
October 25, 2005	FC Schalke 04	6-0	GC	eintracht-archiv.de
October 29, 2005	SV Werder Bremen	1-4	BL	ESPN
November 5, 2005	Arminia Bielefeld	3-0	BL	ESPN
November 19, 2005	1. FSV Mainz 05	2-2	BL	ESPN
November 27, 2005	VfB Stuttgart	1-1	BL	ESPN
December 10, 2005	Borussia Dortmund	2-0	BL	ESPN
December 14, 2005	1. FC Kaiserslautern	2-1	BL	ESPN
December 17, 2005	Borussia Mönchengladbach	3-4	BL	ESPN
December 21, 2005	1. FC Nuremberg	1-1 (5-2 PSO )	GC	eintracht-archiv.de
January 2, 2006	Fortuna Düsseldorf	5-2	IT	eintracht-archiv.de
January 2, 2006	1. FC Köln	1-1	IT	eintracht-archiv.de
January 2, 2006	MSV Duisburg	4-1	IT (semi-final match)	eintracht-archiv.de
January 2, 2006	Alemannia Aachen	3-1	IT (final match)	eintracht-archiv.de
January 4, 2006	Arminia Bielefeld	1-1	IT	eintracht-archiv.de
January 4, 2006	VfL Wolfsburg	2-0	IT	eintracht-archiv.de
January 4, 2006	VfL Oldenburg	4-2	IT (semi-final match)	eintracht-archiv.de
January 4, 2006	Arminia Bielefeld	4-1	IT (final match)	eintracht-archiv.de
January 5, 2006	Kickers Offenbach	2-2	IT	eintracht-archiv.de
January 5, 2006	Sportfreunde Siegen	1-1	IT	eintracht-archiv.de
January 5, 2006	LR Ahlen	1-1 (5-4 PSO )	IT (semi-final match)	eintracht-archiv.de
January 5, 2006	Sportfreunde Siegen	2-2 (3-5 PSO )	IT (final match)	eintracht-archiv.de
January 9, 2006	SC Freiburg	2-0	F	eintracht-archiv.de
January 12, 2006	Standard Liège	0-1	F	eintracht-archiv.de
January 21, 2006	TuS Koblenz	1-2	F	eintracht-archiv.de
January 25, 2006	TSV 1860 München	3-1	GC	eintracht-archiv.de
January 28, 2006	Bayer Leverkusen	1-2	BL	ESPN
February 4, 2006	Hertha BSC Berlin	1-1	BL	ESPN
February 8, 2006	1. FC Nuremberg	1-0	BL	ESPN
February 11, 2006	Hannover 96	0-1	BL	ESPN
February 19, 2006	Hamburger SV	1-2	BL	ESPN
February 25, 2006	FC Bayern Munich	2-5	BL	ESPN
March 5, 2006	VfL Wolfsburg	1-1	BL	ESPN
March 13, 2006	FC Schalke 04	0-2	BL	ESPN
March 18, 2006	MSV Duisburg	5-2	BL	ESPN
March 25, 2006	1. FC Köln	1-1	BL	ESPN
April 1, 2006	SV Werder Bremen	0-1	BL	ESPN
April 8, 2006	Arminia Bielefeld	0-1	BL	ESPN
April 11, 2006	Arminia Bielefeld	1-0	GC	eintracht-archiv.de
April 15, 2006	1. FSV Mainz 05	0-0	BL	ESPN
April 22, 2006	VfB Stuttgart	2-0	BL	ESPN
April 29, 2006	FC Bayern Munich	0-1	GC ( final match )	eintracht-archiv.de
May 3, 2006	1. FC Kaiserslautern	2-2	BL	ESPN
May 6, 2006	Borussia Dortmund	1-1	BL	ESPN
May 13, 2006	Borussia Mönchengladbach	0-2	BL	ESPN
May 16, 2006	TSV Heusenstamm	7-0	F	eintracht-archiv.de
May 19, 2006	SKG Stockstadt	9-2	F	eintracht-archiv.de
May 20, 2006	SG Oberhöchstadt	4-0 (aborted)	F	eintracht-archiv.de
May 25, 2006	East Hesse XI	9-6	F	eintracht-archiv.de
