Place	Player	Country	Score	To par	Money ( £ )
1	Nick Price	Zimbabwe	69-66-67-66=268	–12	110,000
2	Jesper Parnevik	Sweden	68-66-68-67=269	–11	88,000
3	Fuzzy Zoeller	United States	71-66-64-70=271	–9	74,000
T4	Anders Forsbrand	Sweden	72-71-66-64=273	–7	50,667
T4	Mark James	England	72-67-66-68=273	–7	50,667
T4	David Feherty	Northern Ireland	68-69-66-70=273	–7	50,667
7	Brad Faxon	United States	69-65-67-73=274	–6	36,000
T8	Nick Faldo	England	75-66-70-64=275	–5	30,000
T8	Tom Kite	United States	71-69-66-69=275	–5	30,000
T8	Colin Montgomerie	Scotland	72-69-65-69=275	–5	30,000
