Number	Name	Kilometer	Pavement	Length (m)	Average climb (%)
17	Kluisberg	99	asphalt	1250	5,3
16	Nokereberg	118	cobbles	375	5,9
15	Molenberg	157	cobbles/asphalt	463	7
14	Wolvenberg	167	asphalt	645	7,9
13	Oude Kwaremont	185	cobbles/asphalt	2200	4
12	Paterberg	189	cobbles	360	12,9
11	Koppenberg	195	cobbles	600	11,6
10	Steenbeekdries	200	cobbles	700	5,3
9	Taaienberg	203	cobbles	530	6,6
8	Berg Ter Stene	213	asphalt	1300	5
7	Leberg	216	cobbles	950	4,2
6	Berendries	222	asphalt	940	7
5	Valkenberg	227	asphalt	540	8,1
4	Tenbosse	233	asphalt	455	6,4
3	Eikenmolen	239	asphalt	610	5,9
2	Muur-Kapelmuur	249	cobbles	475	9,3
1	Bosberg	252	cobbles/asphalt	980	5,8
