Name	Pos.	Height	Weight	2012 club
Joel Dennerley Category:Articles with hCards	GK	m ()	kg (lb)	UNSW Wests Magpies
Richie Campbell Category:Articles with hCards	CB	m ()	kg (lb)	UNSW Wests Magpies
Tim Cleland Category:Articles with hCards	CB	m ()	kg (lb)	Fremantle Mariners
Johnno Cotterill Category:Articles with hCards	D	m ()	kg (lb)	Panionios G.S.S.
Aaron Younger Category:Articles with hCards	D	m ()	kg (lb)	Szeged Beton
Jamie Beadsworth Category:Articles with hCards	CF	m ()	kg (lb)	Fremantle Mariners
Aiden Roach Category:Articles with hCards	D	m ()	kg (lb)	Drummoyne Devils
Sam McGregor Category:Articles with hCards	D	m ()	kg (lb)	Victorian Tigers
Thomas Whalan Category:Articles with hCards	D	m ()	kg (lb)	Sydney University
Gavin Woods Category:Articles with hCards	CF	m ()	kg (lb)	Balmain Tigers
Rhys Howden Category:Articles with hCards	D	m ()	kg (lb)	Brisbane Barracudas
Billy Miller Category:Articles with hCards	D	m ()	kg (lb)	Queensland Breakers
James Clark Category:Articles with hCards	GK	m ()	kg (lb)	Balmain WPC
