Series	Premiere date	No. of seasons	City	Starring
Date My Ex	July 21, 2008	1	Orange County	Jo De La Rosa
Bethenny Ever After	June 10, 2010	3	New York City	Bethenny Frankel
Boys to Manzo (web series)	May 30, 2011	1	New Jersey	Albie Manzo, Chris Manzo, Greg Bennett
The Kandi Factory	March 4, 2012	1	Atlanta	Kandi Burruss
Don't Be Tardy...	April 26, 2012	2	Atlanta	Kim Zolciak
Havana Elsa (web series)	September 13, 2012	1	Miami	Elsa Patton
Vanderpump Rules	January 7, 2013	2	Beverly Hills	Lisa Vanderpump
Tamra's OC Wedding	September 2, 2013	1	Orange County	Tamra Barney
I Dream of NeNe: The Wedding	September 17, 2013	1	Atlanta	NeNe Leakes
Rich People's Problems	TBA	1	Atlanta	Phaedra Parks
Manzo'd with Children	TBA	1	New Jersey	Caroline Manzo
