Rank	Name	Nationality	Total points	Oberstdorf (Rk)	Ga-Pa (Rk)	Bhofen#1 (Rk)	Bhofen#2 (Rk)
1	Janne Ahonen	FIN	1085.8	279.0 (3)	272.7 (2)	282.5 (1)	251.6 (1)
2	Thomas Morgenstern	AUT	1066.0	295.9 (1)	256.0 (9)	271.4 (2)	242.7 (3)
3	Michael Neumayer	GER	994.6	259.5 (7)	258.6 (3)	249.9 (7)	226.9 (10)
4	Adam Małysz	POL	979.9	246.9 (17)	258.6 (5)	244.3 (9)	232.1 (6)
5	Dmitry Vassiliev	RUS	977.5	248.3 (13)	240.2 (13)	257.1 (4)	231.9 (7)
6	Andreas Küttel	SUI	959.3	253.0 (10)	253.2 (7)	244.3 (9)	208.8 (25)
7	Anders Bardal	NOR	958.7	243.4 (18)	245.1 (11)	226.6 (19)	243.6 (2)
8	Martin Schmitt	GER	955.9	252.6 (11)	227.5 (19)	240.1 (11)	235.7 (4)
9	Anders Jacobsen	NOR	943.2	258.3 (8)	233.4 (16)	220.3 (23)	231.2 (8)
10	Janne Happonen	FIN	936.6	252.5 (12)	228.5 (18)	232.1 (14)	223.5 (12)
11	Roman Koudelka	CZE	932.4	247.5 (16)	256.7 (4)	202.4 (30)	225.8 (11)
12	Gregor Schlierenzauer	AUT	902.3	280.7 (2)	274.4 (1)	256.6 (5)	90.6 (42)
13	Matti Hautamäki	FIN	899.6	241.2 (19)	233.1 (17)	209.6 (29)	215.7 (19)
14	Tom Hilde	NOR	878.3	277.9 (4)	251.7 (8)	253.5 (6)	95.2 (34)
