Date	Visiting Team	Final Score	Host Team	Stadium
September 12	Pittsburgh Steelers	43-0	Cleveland Browns	Cleveland Browns Stadium
September 19	New York Jets	3-17	Buffalo Bills	Ralph Wilson Stadium
September 26	New York Giants	14-16	New England Patriots	Foxboro Stadium
October 3	Oakland Raiders	21-22	Seattle Seahawks	Kingdome
October 10	Tampa Bay Buccaneers	23-26	Green Bay Packers	Lambeau Field
October 17	Washington Redskins	24-10	Arizona Cardinals	Sun Devil Stadium
October 21	Kansas City Chiefs	35-8	Baltimore Ravens	PSINet Stadium
October 31	Tampa Bay Buccaneers	3-20	Detroit Lions	Pontiac Silverdome
November 7	Tennessee Titans	0-17	Miami Dolphins	Pro Player Stadium
November 14	Denver Broncos	17-20	Seattle Seahawks	Kingdome
November 21	New Orleans Saints	23-41	Jacksonville Jaguars	Alltel Stadium
November 28	Atlanta Falcons	28-34	Carolina Panthers	Ericsson Stadium
December 2	Pittsburgh Steelers	6-20	Jacksonville Jaguars	Alltel Stadium
December 5	Dallas Cowboys	6-13	New England Patriots	Foxboro Stadium
December 9	Oakland Raiders	14-21	Tennessee Titans	Adelphia Coliseum
December 12	Minnesota Vikings	28-31	Kansas City Chiefs	Arrowhead Stadium
December 19	Buffalo Bills	31-21	Arizona Cardinals	Sun Devil Stadium
December 26	Washington Redskins	26-20	San Francisco 49ers	3Com Park
