Driver	Constructor	Laps	Time/Retired	Grid
Mika Häkkinen	McLaren - Mercedes	53	1:31:18.785	2
Michael Schumacher	Ferrari	53	+5.015	1
Eddie Irvine	Ferrari	53	+1:35.688	5
Heinz-Harald Frentzen	Jordan - Mugen-Honda	53	+1:38.635	4
Ralf Schumacher	Williams - Supertec	53	+1:39.494	9
Jean Alesi	Sauber - Petronas	52	+1 Lap	10
Johnny Herbert	Stewart - Ford	52	+1 Lap	8
Rubens Barrichello	Stewart - Ford	52	+1 Lap	13
Jacques Villeneuve	BAR - Supertec	52	+1 Lap	11
Alexander Wurz	Benetton - Playlife	52	+1 Lap	15
Pedro Diniz	Sauber - Petronas	52	+1 Lap	17
Ricardo Zonta	BAR - Supertec	52	+1 Lap	18
Pedro de la Rosa	Arrows	51	+2 Laps	21
Giancarlo Fisichella	Benetton - Playlife	47	Engine	14
Toranosuke Takagi	Arrows	43	Gearbox	19
Luca Badoer	Minardi - Ford	43	Engine	22
David Coulthard	McLaren - Mercedes	39	Hydraulics	3
Marc Gené	Minardi - Ford	31	Gearbox	20
Damon Hill	Jordan - Mugen-Honda	21	Withdrew	12
Olivier Panis	Prost - Peugeot	19	Alternator	6
Jarno Trulli	Prost - Peugeot	3	Engine	7
Alessandro Zanardi	Williams - Supertec	0	Electrical	16
