Celebrity	Famous for	Entered	Exited	Finished
Stacey Solomon	X Factor 3rd place finalist	Day 1	Day 21	1st
Shaun Ryder	Member of the band, Happy Mondays	Day 1	Day 21	2nd
Jenny Eclair	Comedienne and novelist	Day 4	Day 20	3rd
Dom Joly	Comedian, journalist and star of Trigger Happy TV	Day 4	Day 19	4th
Kayla Collins	Playboy Playmate	Day 1	Day 19	5th
Aggro Santos	Rapper	Day 1	Day 18	6th
Linford Christie	Olympic athlete	Day 1	Day 17	7th
Gillian McKeith	TV nutritionist/presenter, writer	Day 1	Day 16	8th
Britt Ekland	Actress and former Bond girl	Day 1	Day 15	9th
Alison Hammond	TV presenter, former Big Brother contestant	Day 6	Day 15	10th
Lembit Öpik	Former MP	Day 1	Day 13	11th
Sheryl Gascoigne	Author and Ex-wife of Paul Gascoigne	Day 1	Day 12	12th
Nigel Havers	Actor	Day 1	Day 9	13th
