Country	Film title used in nomination	Language	Original name	Director
Argentina	What Does Fall Mean?	Spanish	¿Qué es el otoño?	Daniel Portela and David José Kohon
Austria	I Want to Live	German	Ich will leben	Jörg A. Eggers
Belgium	Rubens	Dutch	Rubens, schilder en diplomaat	Roland Verhavert
Brazil	Tent of Miracles	Portuguese	Tenda dos Milagres	Nelson Pereira dos Santos
Canada	J.A. Martin Photographer	French	J.A. Martin photographe	Jean Beaudin
Denmark	Boys	Danish	Drenge	Nils Malmros
France	Madame Rosa	French	La Vie devant soi	Moshé Mizrahi
East Germany	Mom, I Am Alive	German	Mama, ich lebe	Konrad Wolf
West Germany	The American Friend	German	Der Amerikanische Freund	Wim Wenders
Greece	Iphigenia	Greek	Ἰφιγένεια	Michael Cacoyannis
Hungary	A Strange Role	Hungarian	Herkulesfürdöi emlék	Pál Sándor
India	Manthan	Hindi	मंथन	Shyam Benegal
Iran	The Cycle	Persian	دايره مينا	Dariush Mehrjui
Israel	Operation Thunderbolt	Hebrew, English	מבצע יונתן	Menahem Golan
Italy	A Special Day	Italian	Una Giornata particolare	Ettore Scola
Japan	Mt. Hakkoda	Japanese	八甲田山	Shiro Moritani
Mexico	Pafnucio Santo	Spanish	Pafnucio Santo	Rafael Corkidi
Morocco	Blood Wedding	French	Noces de sang	Souheil Ben-Barka
Netherlands	Soldier of Orange	Dutch	Soldaat van Oranje	Paul Verhoeven
Poland	Camouflage	Polish	Barwy ochronne	Krzysztof Zanussi
Spain	That Obscure Object of Desire	French, Spanish	Ese oscuro objeto del deseo	Luis Buñuel
Sweden	The Man on the Roof	Swedish	Mannen på taket	Bo Widerberg
Soviet Union	The Ascent	Russian	Восхождение	Larisa Shepitko
Venezuela	The Fish That Smokes	Spanish	El Pez que fuma	Román Chalbaud
