Date	Jurisdiction	Ronald Reagan	George H. W. Bush	John B. Anderson	Howard Baker	John Connally	Phil Crane	Bob Dole
January 21	Iowa	30%	32%	4%	15%	9%	7%	1%
February 17	Puerto Rico	0%	60%	0%	37%	1%	0%	0%
February 26	New Hampshire	50%	23%	10%	13%	2%	2%	0%
March 4	Massachusetts	29%	31%	31%	5%	1%	1%	0%
March 4	Vermont	30%	22%	29%	12%	1%	2%	0%
March 8	South Carolina	55%	15%	0%	1%	30%	0%	0%
March 11	Alabama	70%	26%	0%	1%	1%	2%	0%
March 11	Florida	56%	30%	9%	1%	1%	2%	0%
March 11	Georgia	73%	13%	8%	1%	1%	3%	0%
March 18	Illinois	49%	11%	36%	1%	0%	2%	0%
March 25	Connecticut	34%	39%	22%	1%	0%	1%	0%
April 1	Kansas	63%	13%	18%	1%	1%	0%	0%
April 1	Wisconsin	40%	30%	27%	0%	0%	0%	0%
April 5	Louisiana	74%	19%	0%	0%	0%	0%	0%
April 22	Pennsylvania	43%	50%	2%	3%	1%	0%	0%
May 3	Texas	53%	46%	0%	0%	0%	0%	0%
May 6	Washington, D.C.	0%	66%	27%	0%	0%	4%	0%
May 6	Indiana	74%	16%	10%	0%	0%	4%	0%
May 6	North Carolina	68%	22%	5%	2%	0%	1%	0%
May 6	Tennessee	74%	18%	4%	0%	0%	1%	0%
May 13	Maryland	48%	41%	10%	0%	0%	1%	0%
May 13	Nebraska	76%	15%	6%	0%	0%	1%	1%
May 20	Michigan	32%	57%	8%	0%	0%	1%	1%
May 20	Oregon	54%	35%	10%	0%	0%	1%	0%
May 27	Idaho	83%	4%	10%	0%	0%	1%	0%
May 27	Kentucky	82%	7%	5%	0%	0%	0%	0%
May 27	Nevada	83%	4%	10%	0%	0%	1%	0%
June 3	California	80%	5%	14%	0%	0%	1%	0%
June 3	Mississippi	89%	8%	0%	0%	0%	0%	0%
June 3	Montana	87%	10%	0%	0%	0%	0%	0%
June 3	New Jersey	81%	17%	0%	0%	0%	0%	0%
June 3	New Mexico	64%	10%	12%	0%	0%	7%	0%
June 3	Ohio	81%	19%	0%	0%	0%	0%	0%
June 3	Rhode Island	72%	19%	0%	0%	0%	0%	0%
June 3	South Dakota	88%	4%	0%	0%	0%	0%	0%
June 3	West Virginia	84%	14%	0%	0%	0%	0%	0%
