Rocket	Country	Family	Launches	Successes	Failures	Partial failures
Ariane 5	Europe	Ariane	6	6	0	0
Atlas V	United States	Atlas	4	4	0	0
Delta II	United States	Delta	1	1	0	0
Delta IV	United States	Delta	3	3	0	0
Dnepr	Ukraine	R-36	3	3	0	0
Falcon 9	United States	Falcon	2	2	0	0
Geosynchronous Satellite Launch Vehicle	India	GSLV	2	0	2	0
H-IIA	Japan	H-II	2	2	0	0
Kosmos	Russia	R-12/R-14	1	1	0	0
Long March 2	China	Long March	3	3	0	0
Long March 3	China	Long March	8	8	0	0
Long March 4	China	Long March	4	4	0	0
Minotaur IV	United States	Minotaur	2	2	0	0
Molniya	Russia	R-7	1	1	0	0
Naro	Russia South Korea	Angara	1	0	1	0
Proton	Russia	Universal Rocket	12	11	1	0
Polar Satellite Launch Vehicle	India	PSLV	1	1	0	0
Shavit	Israel	Jericho	1	1	0	0
Soyuz	Russia	R-7	12	12	0	0
Space Shuttle	United States	Space Shuttle	3	3	0	0
UR-100	Russia	Universal Rocket	2	2	0	0
