County	Kerry %	Kerry #	Bush %	Bush #	Others %	Others #
Atlantic	52.5%	55,746	46.6%	49,487	0.9%	864
Bergen	51.9%	207,666	47.4%	189,833	0.7%	2,745
Burlington	53.1%	110,411	46.1%	95,936	0.8%	1,609
Camden	62.4%	137,765	36.9%	81,427	0.7%	1,741
Cape May	42.3%	21,475	56.8%	28,832	0.9%	455
Cumberland	52.4%	27,875	45.8%	24,362	1.8%	948
Essex	70.4%	203,681	28.8%	83,374	0.8%	2,293
Gloucester	52.2%	66,835	46.9%	60,033	0.9%	1,096
Hudson	67.3%	127,447	32.0%	60,646	0.7%	1,353
Hunterdon	39.1%	26,050	59.8%	39,888	1.1%	742
Mercer	61.3%	91,580	37.9%	56,604	0.8%	1,326
Middlesex	56.3%	166,628	42.8%	126,492	0.9%	2,685
Monmouth	44.6%	133,773	54.6%	163,650	0.8%	2,516
Morris	41.7%	98,066	57.5%	135,241	0.8%	1,847
Ocean	39.0%	99,839	60.2%	154,204	0.8%	2,263
Passaic	55.4%	94,962	43.9%	75,200	0.7%	1,149
Salem	46.2%	13,749	52.8%	15,721	1.0%	311
Somerset	47.4%	66,476	51.7%	72,508	0.9%	1,295
Sussex	34.6%	23,990	64.1%	44,506	1.3%	900
Union	58.7%	119,372	40.6%	82,517	0.7%	1,498
Warren	37.4%	18,044	61.3%	29,542	1.3%	622
