Season	Series	Team Name	Races	Wins	Poles	F.L.	Podiums	Points	Position
2003	Formula Renault 2000 Italia	RP Motorsport	12	0	0	0	0	24	15th
2003	Formula Renault 2000 Masters	RP Motorsport	1	0	0	0	0	0	NC
2003	Italian Formula Three	RP Motorsport	1	0	0	0	0	0	NC
2004	Formula Renault 2000 Italia	Cram Competition	15	0	0	0	0	31	14th
2004	Formula Renault 2000 Eurocup	Cram Competition	11	0	0	0	0	2	31st
2004	Italian Formula Three	Corbetta	2	0	0	0	0	0	NC
2005	Formula Renault 2.0 Italia	RP Motorsport	17	0	1	1	2	104	7th
2005	Eurocup Formula Renault 2.0	RP Motorsport	2	0	0	0	0	0	NC
2005	Italian Formula Three	Corbetta	3	0	0	0	1	35	7th
2005	Recaro Formel 3 Cup	Corbetta	2	0	0	0	0	0	NC
2005	F3000 International Masters	ADM Motorsport	1	0	0	0	0	3	14th
2006	Formula Renault 3.5 Series	Epsilon Euskadi	15	0	1	0	2	43	10th
2006	Le Mans Series	Barazi-Epsilon (LMP2)	3	0	0	0	0	6	15th
2007	Formula Renault 3.5 Series	Epsilon Euskadi	17	1	0	0	2	37	16th
2008	GP2 Series	Durango	14	1	0	0	1	11	15th
2008	GP2 Asia Series	Durango	10	0	0	0	0	17	8th
2008–09	GP2 Asia Series	Durango	11	1	0	0	4	34	4th
2009	GP2 Series	Durango	20	0	0	0	1	12	17th
2009	GP2 Series	Barwa Addax	20	0	0	0	1	12	17th
2009–10	GP2 Asia Series	iSport International	8	3	1	2	6	56	1st
2010	GP2 Series	iSport International	20	1	1	1	3	31	8th
2010	Auto GP	RP Motorsport	2	0	0	0	0	0	23rd
2011	GP2 Asia Series	Team AirAsia	4	0	0	0	1	9	7th
2011	GP2 Series	Team AirAsia	18	1	0	1	2	30	8th
2011	Formula One	Team Lotus	Test driver	Test driver	Test driver	Test driver	Test driver	Test driver	Test driver
2012	GP2 Series	DAMS	24	4	2	6	10	247	1st
2013	Formula One	Lotus F1 Team	Test driver	Test driver	Test driver	Test driver	Test driver	Test driver	Test driver
