Position	Driver / Passenger	Equipment	Bike No	Points
1	Joris Hendrickx / Kaspars Liepins	KTM - VMC	4	483
2	Jan Hendrickx / Tim Smeuninx	KTM-VMC	3	465
3	Janis Daiders / Lauris Daiders	KTM-VMC	8	418
4	Marco Happich / Martin Betschart	Zabel-MEFO	5	377
5	Daniël Willemsen / Sven Verbrugge	Zabel -VMC	1	366
6	Vaclav Rozehnal / Marek Rozehnal	Zabel-VMC	7	365
7	Maris Rupeiks / Haralds Kurpnieks	KTM-WSP	6	341
8	Etienne Bax / Marc van Deutekom	Zabel-VMC	10	300
9	Stuart Brown / Luke Peters	Husaberg -VMC	17	266
10	Tomas Cermak / Ondrej Cermak	JAWA-MEFO	37	261
11	Peter Steegmans / Christian Verhagen	Zabel-VMC	16	245
12	Nicky Pulinx / Kaspars Stupelis	Zabel-VMC	9	229
13	Kristof Santermans / Ben van den Bogaart	Zabel-WSP	19	182
14	Thomas Morch / Robbie Bax	Zabel-WSP	18	142
15	Jan Visscher / Jeroen Visscher	Zabel-VMC	30	122
16	Gerrit van Werven / Gertie Eggink	KTM-VMC	96	113
17	Daniel Millard / Joe Millard	Husaberg-WSP	35	109
18	Ben Adriaenssen / Kenny van Gaalen	KTM-VMC	90	108
19	Henrik Söderqvist / Tobias Sylwan	Husaberg-MEFO	20	101
20	Martin Walter / Andre Saam	Zabel-WSP	15	100
21	Robert Gustavsson / Henrik Apelgren	KTM-MEFO	747	52
22	Joshua Luscher / Markus Gloor	Husaberg-VMC	31	51
23	Margo Sonn / Elvijs Mucenieks	KTM- AYR	23	48
24	Marcel Willemsen / Bruno Kaelin	Zabel-WSP	11	41
25	Kevin Bitsche / Johannes Vonbun	Zabel-WSP	67	41
26	Benjamin Daniel / Guennady Auvray	Husaberg-WSP	41	39
27	Thijs Derks / Roy Derks	Husaberg-EML	13	26
28	Gert Gordejev / Keit Kivaste	KTM-AYR	34	24
29	Lukas Cerny / Edouard Chereau	JAWA-MEFO	21	22
30	Evgeny Scherbinin / Sergey Sosnovskikh	KTM-AYR	79	19
31	Miroslav Knotig / Robbie Bax	MEFO	98	19
32	Roman Koch / Aleksey Bessarabov	Zabel	351	19
33	Baptiste Bigand / Julien Bigand	Zabel-VMC	25	18
34	Arnolds Silis / Gints Silis	MTH -VMC	171	18
35	John Lyne / Steve Kirwin	KTM-VMC	24	17
36	Mark Kinge / Kev Foyle	Husaberg-WSP	71	17
37	Eric Schrijver / Patrick van de Nieuwenhuizen	MTR-VMC	14	16
38	Carlo van Duijnhoven / Tom van Duijnhoven	Zabel-VMC	12	14
39	Joonas Saloniemi / Juho Saloniemi	KTM-AYR	53	14
40	Michail Kursov / Pavel Anikin	Zabel	311	12
41	Igor Rodionov / Dmitri Rodionov	KTM-AYR	199	12
42	Andreas Rutter / Steffen Nicke	Zabel	102	11
43	Boudewijn Gommeren / Jean Pierre Loos	KTM-Bastech	130	11
44	Argo Poldsaar / Indrek Aljes	KTM-AYR	44	11
45	Sergei Ivanov / Atho Jalas	KTM-AYR	188	10
46	Liutauras Variakosis / Arvidas Davidonis	KTM-AYR	49	9
47	Andreas Clohse / Birgen Beernaert	Zabel-VMC	27	8
48	Marcel Grondman / Rick Sellis	Zabel-VMC	55	7
49	Frank Mulders / Roy Derks	MTR-WSP	111	7
50	Jean Marie Ains / Matthieu Cailleau	JAWA-MEFO	65	7
51	Valeriy Starchenko / Evhen Potanin	Zabel-VMC	901	5
52	Richard Jenkins / Daniel Chamberlain	Zabel-VMC	87	5
53	Dmytro Hrechanuk / Oleksandr Litovchenko	MTH-BSU	92	4
54	Dorian Boileau / Paul Fressard	Husaberg-VMC	77	4
55	John Nielsen / Dennis Hansen	JAWA-VMC	191	3
56	Nick Jarvis / Josh Chamberlain	KTM-VMC	144	2
57	Tommy Sorensen / Andreas Linden	Husaberg-AYR	92	2
58	Willi Liebl / Vladislav Gabor	Husaberg-MEFO	66	2
59	Zigmas Ziukas / Jonas Davidonis	KTM-AYR	52	2
60	Guillaume Martin / Edouard Chererau	Zabel-VMC	110	1
61	Wim Janssen / Bart Notten	Zabel-VMC	36	1
62	Werner Wittmann / Premysl Novotny	KTM-NMP	116	1
